연도,송도,영종,청라,계
2003,2274,23054,0,25328
2004,2215,28519,0,30734
2005,17729,30720,0,48449
2006,21114,31344,0,52458
2007,23621,29987,0,53608
2008,27395,28887,0,56282
2009,33293,30170,0,63463
2010,41425,34687,4463,80575
2011,55178,37235,25775,118188
2012,61608,41170,55451,158229
2013,71792,52145,70388,194325
2014,86002,58025,78200,222227
2015,99424,62136,82051,243611
2016,112814,64598,86011,263423
2017,123832,68406,89247,281485
2018,139580,74704,97744,312028
2019,159326,89316,107970,356612
