MemberCD,CustomerCD,ClassCD,Score,CityCD
KT202201,CT1001,Bronze,7218,S
KT202202,CT1002,Gold,71235,C
KT202203,CT1003,Bronze,7889,S
KT202204,CT1004,Gold,53055,S
KT202205,CT1005,Bronze,8005,S
KT202206,CT1006,Bronze,8431,Q
KT202207,CT1007,Gold,51798,S
KT202208,CT1008,Bronze,21063,S
KT202209,CT1009,Bronze,11096,S
KT202210,CT1010,Silver,30046,C
KT202211,CT1011,Bronze,16686,S
KT202212,CT1012,Gold,26482,S
KT202213,CT1013,Bronze,8020,S
KT202214,CT1014,Bronze,31226,S
KT202215,CT1015,Bronze,7830,S
KT202216,CT1016,Silver,15935,S
KT202217,CT1017,Bronze,29113,Q
KT202218,CT1018,Silver,12973,S
KT202219,CT1019,Bronze,17959,S
KT202220,CT1020,Bronze,7198,C
KT202221,CT1021,Silver,25955,S
KT202222,CT1022,Silver,12956,S
KT202223,CT1023,Bronze,8004,Q
KT202224,CT1024,Gold,35462,S
KT202225,CT1025,Bronze,21057,S
KT202226,CT1026,Bronze,31339,S
KT202227,CT1027,Bronze,7198,C
KT202228,CT1028,Gold,262971,S
KT202229,CT1029,Bronze,7879,Q
KT202230,CT1030,Bronze,7868,S
KT202231,CT1031,Gold,27670,C
KT202232,CT1032,Gold,146493,C
KT202233,CT1033,Bronze,7723,Q
KT202234,CT1034,Silver,10424,S
KT202235,CT1035,Gold,82132,C
KT202236,CT1036,Gold,51948,S
KT202237,CT1037,Bronze,7202,C
KT202238,CT1038,Bronze,8019,S
KT202239,CT1039,Bronze,17972,S
KT202240,CT1040,Bronze,11217,C
KT202241,CT1041,Bronze,9425,S
KT202242,CT1042,Silver,20963,S
KT202243,CT1043,Bronze,7868,C
KT202244,CT1044,Silver,41566,C
KT202245,CT1045,Bronze,7850,Q
KT202246,CT1046,Bronze,8023,S
KT202247,CT1047,Bronze,15473,Q
KT202248,CT1048,Bronze,7723,Q
KT202249,CT1049,Bronze,21652,C
KT202250,CT1050,Bronze,17772,S
KT202251,CT1051,Bronze,39670,S
KT202252,CT1052,Bronze,7769,S
KT202253,CT1053,Gold,76670,C
KT202254,CT1054,Silver,25961,S
KT202255,CT1055,Gold,61904,C
KT202256,CT1056,Gold,35500,S
KT202257,CT1057,Silver,10469,S
KT202258,CT1058,Bronze,7191,C
KT202259,CT1059,Silver,27735,S
KT202260,CT1060,Bronze,46879,S
KT202261,CT1061,Bronze,7197,C
KT202262,CT1062,Gold,79952,
KT202263,CT1063,Gold,83420,S
KT202264,CT1064,Bronze,27886,S
KT202265,CT1065,Gold,27693,C
KT202266,CT1066,Bronze,15218,C
KT202267,CT1067,Silver,10461,S
KT202268,CT1068,Bronze,8129,S
KT202269,CT1069,Bronze,7898,S
KT202270,CT1070,Bronze,8626,S
KT202271,CT1071,Silver,10458,S
KT202272,CT1072,Bronze,46874,S
KT202273,CT1073,Silver,73469,S
KT202274,CT1074,Bronze,14418,C
KT202275,CT1075,Bronze,56453,S
KT202276,CT1076,Bronze,7615,S
KT202277,CT1077,Bronze,7868,S
KT202278,CT1078,Bronze,8023,S
KT202279,CT1079,Silver,28973,S
KT202280,CT1080,Bronze,12435,S
KT202281,CT1081,Bronze,8968,S
KT202282,CT1082,Bronze,9461,S
KT202283,CT1083,Bronze,7787,Q
KT202284,CT1084,Gold,47062,S
KT202285,CT1085,Silver,10473,S
KT202286,CT1086,Bronze,15807,S
KT202287,CT1087,Bronze,34349,S
KT202288,CT1088,Bronze,8023,S
KT202289,CT1089,Gold,262967,S
KT202290,CT1090,Bronze,8016,S
KT202291,CT1091,Bronze,8011,S
KT202292,CT1092,Bronze,7824,S
KT202293,CT1093,Gold,61119,S
KT202294,CT1094,Bronze,20539,S
KT202295,CT1095,Bronze,7181,S
KT202296,CT1096,Bronze,8023,S
KT202297,CT1097,Gold,34573,C
KT202298,CT1098,Gold,63325,C
KT202299,CT1099,Silver,22956,S
KT202300,CT1100,Silver,25956,S
KT202301,CT1101,Bronze,7857,S
KT202302,CT1102,Bronze,7868,S
KT202303,CT1103,Gold,77256,S
KT202304,CT1104,Bronze,8611,S
KT202305,CT1105,Bronze,7878,S
KT202306,CT1106,Bronze,7857,S
KT202307,CT1107,Bronze,7619,S
KT202308,CT1108,Bronze,7748,S
KT202309,CT1109,Bronze,7847,S
KT202310,CT1110,Bronze,24123,Q
KT202311,CT1111,Gold,51943,S
KT202312,CT1112,Bronze,14430,C
KT202313,CT1113,Bronze,8018,S
KT202314,CT1114,Bronze,9795,S
KT202315,CT1115,Bronze,14431,C
KT202316,CT1116,Bronze,7894,S
KT202317,CT1117,Bronze,7670,Q
KT202318,CT1118,Silver,20961,S
KT202319,CT1119,Gold,247486,C
KT202320,CT1120,Bronze,31263,S
KT202321,CT1121,Silver,73469,S
KT202322,CT1122,Bronze,8023,S
KT202323,CT1123,Silver,30028,C
KT202324,CT1124,Silver,12958,S
KT202325,CT1125,Gold,77223,S
