,GRE,TOEFL,RANK,SOP,LOR,GPA,RESEARCH,ADMIT
0,337,118,4,4.5,4.5,9.65,1,1
1,324,107,4,4.0,4.5,8.87,1,1
2,316,104,3,3.0,3.5,8.0,1,0
3,322,110,3,3.5,2.5,8.67,1,1
4,314,103,2,2.0,3.0,8.21,0,0
5,330,115,5,4.5,3.0,9.34,1,1
6,321,109,3,3.0,4.0,8.2,1,1
7,308,101,2,3.0,4.0,7.9,0,0
8,302,102,1,2.0,1.5,8.0,0,0
9,323,108,3,3.5,3.0,8.6,0,0
10,325,106,3,3.5,4.0,8.4,1,0
11,327,111,4,4.0,4.5,9.0,1,1
12,328,112,4,4.0,4.5,9.1,1,1
13,307,109,3,4.0,3.0,8.0,1,0
14,311,104,3,3.5,2.0,8.2,1,0
15,314,105,3,3.5,2.5,8.3,0,0
16,317,107,3,4.0,3.0,8.7,0,0
17,319,106,3,4.0,3.0,8.0,1,0
18,318,110,3,4.0,3.0,8.8,0,0
19,303,102,3,3.5,3.0,8.5,0,0
20,312,107,3,3.0,2.0,7.9,1,0
21,325,114,4,3.0,2.0,8.4,0,0
22,328,116,5,5.0,5.0,9.5,1,1
23,334,119,5,5.0,4.5,9.7,1,1
24,336,119,5,4.0,3.5,9.8,1,1
25,340,120,5,4.5,4.5,9.6,1,1
26,322,109,5,4.5,3.5,8.8,0,1
27,298,98,2,1.5,2.5,7.5,1,0
28,295,93,1,2.0,2.0,7.2,0,0
29,310,99,2,1.5,2.0,7.3,0,0
30,300,97,2,3.0,3.0,8.1,1,0
31,327,103,3,4.0,4.0,8.3,1,0
32,338,118,4,3.0,4.5,9.4,1,1
33,340,114,5,4.0,4.0,9.6,1,1
34,331,112,5,4.0,5.0,9.8,1,1
35,320,110,5,5.0,5.0,9.2,1,1
36,299,106,2,4.0,4.0,8.4,0,0
37,300,105,1,1.0,2.0,7.8,0,0
38,304,105,1,3.0,1.5,7.5,0,0
39,307,108,2,4.0,3.5,7.7,0,0
40,308,110,3,3.5,3.0,8.0,1,0
41,316,105,2,2.5,2.5,8.2,1,0
42,313,107,2,2.5,2.0,8.5,1,0
43,332,117,4,4.5,4.0,9.1,0,1
44,326,113,5,4.5,4.0,9.4,1,1
45,322,110,5,5.0,4.0,9.1,1,1
46,329,114,5,4.0,5.0,9.3,1,1
47,339,119,5,4.5,4.0,9.7,0,1
48,321,110,3,3.5,5.0,8.85,1,1
49,327,111,4,3.0,4.0,8.4,1,1
50,313,98,3,2.5,4.5,8.3,1,1
51,312,100,2,1.5,3.5,7.9,1,0
52,334,116,4,4.0,3.0,8.0,1,1
53,324,112,4,4.0,2.5,8.1,1,0
54,322,110,3,3.0,3.5,8.0,0,0
55,320,103,3,3.0,3.0,7.7,0,0
56,316,102,3,2.0,3.0,7.4,0,0
57,298,99,2,4.0,2.0,7.6,0,0
58,300,99,1,3.0,2.0,6.8,1,0
59,311,104,2,2.0,2.0,8.3,0,0
60,309,100,2,3.0,3.0,8.1,0,0
61,307,101,3,4.0,3.0,8.2,0,0
62,304,105,2,3.0,3.0,8.2,1,0
63,315,107,2,4.0,3.0,8.5,1,0
64,325,111,3,3.0,3.5,8.7,0,0
65,325,112,4,3.5,3.5,8.92,0,0
66,327,114,3,3.0,3.0,9.02,0,0
67,316,107,2,3.5,3.5,8.64,1,0
68,318,109,3,3.5,4.0,9.22,1,0
69,328,115,4,4.5,4.0,9.16,1,1
70,332,118,5,5.0,5.0,9.64,1,1
71,336,112,5,5.0,5.0,9.76,1,1
72,321,111,5,5.0,5.0,9.45,1,1
73,314,108,4,4.5,4.0,9.04,1,1
74,314,106,3,3.0,5.0,8.9,0,0
75,329,114,2,2.0,4.0,8.56,1,0
76,327,112,3,3.0,3.0,8.72,1,0
77,301,99,2,3.0,2.0,8.22,0,0
78,296,95,2,3.0,2.0,7.54,1,0
79,294,93,1,1.5,2.0,7.36,0,0
80,312,105,3,2.0,3.0,8.02,1,0
81,340,120,4,5.0,5.0,9.5,1,1
