id,gender,customer_type,age,type_of_travel,class,flight_distance,inflight_wifi_service,departure/arrival_time_convenient,ease_of_online_booking,gate_location,food_and_drink,online_boarding,seat_comfort,inflight_entertainment,on-board_service,leg_room_service,baggage_handling,checkin_service,inflight_service,cleanliness,departure_delay_in_minutes,arrival_delay_in_minutes,satisfaction
51212,Male,Loyal Customer,55,Business travel,Eco Plus,109,3,3,3,3,3,3,3,3,2,2,3,3,3,3,0,0,yes
40564,Female,Loyal Customer,25,Business travel,Business,3656,4,4,4,4,3,3,3,3,1,1,4,1,5,3,0,0,yes
16385,Female,Loyal Customer,41,Business travel,Eco,463,5,5,2,5,4,5,4,4,3,1,2,5,5,4,9,1,yes
89489,Male,Loyal Customer,46,Personal Travel,Eco,1931,3,4,3,1,2,3,2,2,3,5,3,5,4,2,0,0,no
9418,Male,Loyal Customer,9,Personal Travel,Business,288,1,5,5,4,1,5,1,1,3,4,5,4,5,1,51,51,no
90190,Male,Loyal Customer,41,Personal Travel,Eco,1127,2,4,3,2,4,3,4,4,3,4,5,4,4,4,0,0,no
27486,Female,Loyal Customer,52,Business travel,Eco,954,5,2,2,2,2,2,1,5,5,5,5,4,5,5,0,0,yes
45476,Female,Loyal Customer,10,Business travel,Eco,522,4,5,5,5,4,4,4,4,3,5,4,4,5,4,0,2,yes
5538,Male,Loyal Customer,7,Personal Travel,Eco,431,2,4,2,2,5,2,5,5,5,2,5,5,5,5,0,0,no
94327,Female,disloyal Customer,50,Business travel,Business,192,5,5,5,4,3,5,3,3,4,5,5,3,4,3,21,12,yes
51680,Female,disloyal Customer,22,Business travel,Eco,370,3,3,4,4,1,4,1,1,3,3,3,3,4,1,26,21,no
122423,Female,disloyal Customer,24,Business travel,Eco,1916,4,4,4,3,4,4,3,4,3,5,3,2,3,4,16,18,no
42477,Female,Loyal Customer,8,Personal Travel,Eco,429,1,1,1,3,2,1,4,2,3,4,3,3,4,2,0,4,no
5387,Male,Loyal Customer,25,Personal Travel,Eco,812,2,3,2,3,5,2,5,5,4,2,3,2,3,5,0,0,no
95874,Female,Loyal Customer,33,Business travel,Business,759,1,1,1,1,3,4,5,4,4,4,4,5,4,5,0,0,yes
