Date,Confirmer
01岿 20老,1 (+1)
01岿 21老,1 (+0)
01岿 22老,1 (+0)
01岿 23老,1 (+0)
01岿 24老,2 (+1)
01岿 25老,2 (+0)
01岿 26老,3 (+1)
01岿 27老,4 (+1)
01岿 28老,4 (+0)
01岿 29老,4 (+0)
01岿 30老,6 (+2)
01岿 31老,11 (+5)
02岿 01老,12 (+1)
02岿 02老,15 (+3)
02岿 03老,15 (+0)
02岿 04老,16 (+1)
02岿 05老,19 (+3)
02岿 06老,23 (+4)
02岿 07老,24 (+1)
02岿 08老,24 (+0)
02岿 09老,27 (+3)
02岿 10老,27 (+0)
02岿 11老,28 (+1)
02岿 12老,28 (+0)
02岿 13老,28 (+0)
02岿 14老,28 (+0)
02岿 15老,28 (+0)
02岿 16老,29 (+1)
02岿 17老,30 (+1)
02岿 18老,31 (+1)
02岿 19老,51 (+20)
02岿 20老,104 (+53)
02岿 21老,204 (+100)
02岿 22老,433 (+229)
02岿 23老,602 (+169)
02岿 24老,833 (+231)
02岿 25老,977 (+144)
02岿 26老,"1,261 (+284)"
02岿 27老,"1,766 (+505)"
02岿 28老,"2,337 (+571)"
02岿 29老,"3,150 (+813)"
03岿 01老,"4,212 (+1,062)"
03岿 02老,"4,812 (+600)"
03岿 03老,"5,328 (+516)"
03岿 04老,"5,766 (+438)"
03岿 05老,"6,284 (+518)"
03岿 06老,"6,767 (+483)"
03岿 07老,"7,134 (+367)"
03岿 08老,"7,382 (+248)"
03岿 09老,"7,513 (+131)"
03岿 10老,"7,755 (+242)"
03岿 11老,"7,869 (+114)"
03岿 12老,"7,979 (+110)"
03岿 13老,"8,086 (+107)"
03岿 14老,"8,162 (+76)"
03岿 15老,"8,236 (+74)"
03岿 16老,"8,320 (+84)"
03岿 17老,"8,413 (+93)"
03岿 18老,"8,565 (+152)"
03岿 19老,"8,652 (+87)"
03岿 20老,"8,799 (+147)"
03岿 21老,"8,897 (+98)"
03岿 22老,"8,961 (+64)"
03岿 23老,"9,037 (+76)"
03岿 24老,"9,137 (+100)"
03岿 25老,"9,241 (+104)"
03岿 26老,"9,332 (+91)"
03岿 27老,"9,478 (+146)"
03岿 28老,"9,583 (+105)"
03岿 29老,"9,661 (+78)"
03岿 30老,"9,786 (+125)"
03岿 31老,"9,887 (+101)"
04岿 01老,"9,976 (+89)"
04岿 02老,"10,062 (+86)"
04岿 03老,"10,156 (+94)"
04岿 04老,"10,237 (+81)"
04岿 05老,"10,284 (+47)"
04岿 06老,"10,331 (+47)"
04岿 07老,"10,384 (+53)"
04岿 08老,"10,423 (+39)"
04岿 09老,"10,450 (+27)"
04岿 10老,"10,480 (+30)"
04岿 11老,"10,512 (+32)"
04岿 12老,"10,537 (+25)"
04岿 13老,"10,564 (+27)"
04岿 14老,"10,591 (+27)"
04岿 15老,"10,613 (+22)"
04岿 16老,"10,635 (+22)"
04岿 17老,"10,653 (+18)"
04岿 18老,"10,661 (+8)"
04岿 19老,"10,674 (+13)"
04岿 20老,"10,683 (+9)"
04岿 21老,"10,694 (+11)"
04岿 22老,"10,702 (+8)"
04岿 23老,"10,708 (+6)"
04岿 24老,"10,718 (+10)"
04岿 25老,"10,728 (+10)"
04岿 26老,"10,738 (+10)"
04岿 27老,"10,752 (+14)"
04岿 28老,"10,761 (+9)"
04岿 29老,"10,765 (+4)"
04岿 30老,"10,774 (+9)"
05岿 01老,"10,780 (+6)"
05岿 02老,"10,793 (+13)"
05岿 03老,"10,801 (+8)"
05岿 04老,"10,804 (+3)"
05岿 05老,"10,804 (+3)"
05岿 06老,"10,806 (+2)"
05岿 07老,"10,810 (+4)"
05岿 08老,"10,822 (+12)"
05岿 09老,"10,840 (+18)"
05岿 10老,"10,874 (+34)"
05岿 11老,"10,909 (+35)"
05岿 12老,"10,936 (+27)"
05岿 13老,"10,962 (+26)"
