ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,CNT_FAM_MEMBERS,OVERDUE
5008804,M,Y,Y,0,427500,Working,Higher education,Civil marriage,Rented apartment,-12005,-4542,1,1,0,0,2,NO
5008806,M,Y,Y,0,112500,Working,Secondary / secondary special,Married,House / apartment,-21474,-1134,1,0,0,0,2,NO
5008808,F,N,Y,0,270000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-19110,-3051,1,0,1,1,1,NO
5008812,F,N,Y,0,283500,Pensioner,Higher education,Separated,House / apartment,-22464,365243,1,0,0,0,1,NO
5008815,M,Y,Y,0,270000,Working,Higher education,Married,House / apartment,-16872,-769,1,1,1,1,2,NO
5008819,M,Y,Y,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,-17778,-1194,1,0,0,0,2,NO
5008825,F,Y,N,0,130500,Working,Incomplete higher,Married,House / apartment,-10669,-1103,1,0,0,0,2,NO
5008830,F,N,Y,0,157500,Working,Secondary / secondary special,Married,House / apartment,-10031,-1469,1,0,1,0,2,NO
5008834,F,N,Y,1,112500,Working,Secondary / secondary special,Single / not married,House / apartment,-10968,-1620,1,0,0,0,2,NO
5008836,M,Y,Y,3,270000,Working,Secondary / secondary special,Married,House / apartment,-12689,-1163,1,0,0,0,5,NO
5008838,M,N,Y,1,405000,Commercial associate,Higher education,Married,House / apartment,-11842,-2016,1,0,0,0,3,NO
5008844,M,Y,Y,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,1,0,1,0,2,NO
5008854,F,Y,Y,2,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,4,NO
5008868,F,N,Y,1,211500,State servant,Secondary / secondary special,Civil marriage,House / apartment,-16212,-7099,1,0,0,0,3,NO
5008872,M,Y,Y,0,360000,Commercial associate,Secondary / secondary special,Married,House / apartment,-16670,-5364,1,0,1,0,2,NO
5008873,F,N,Y,2,126000,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,1,0,0,1,4,NO
5008884,F,N,Y,0,315000,Pensioner,Secondary / secondary special,Widow,House / apartment,-20186,365243,1,0,0,0,1,NO
5008888,F,N,Y,0,247500,Commercial associate,Higher education,Separated,Rented apartment,-17016,-1347,1,0,0,0,1,NO
5008891,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,1,NO
5008942,F,N,N,0,157500,Commercial associate,Higher education,Married,House / apartment,-13642,-4846,1,0,1,0,2,NO
5008947,M,N,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,-15484,-1408,1,1,1,0,2,NO
5008951,M,N,Y,1,225000,Working,Secondary / secondary special,Married,House / apartment,-10321,-2808,1,0,0,0,3,NO
5008955,F,Y,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,-17785,-1712,1,0,0,0,2,NO
5008966,M,N,Y,0,157500,Working,Secondary / secondary special,Married,House / apartment,-16027,-889,1,0,1,0,2,NO
5008974,F,N,Y,0,112500,Pensioner,Secondary / secondary special,Married,House / apartment,-22319,365243,1,0,0,0,2,NO
5008981,M,Y,Y,0,112500,State servant,Secondary / secondary special,Married,House / apartment,-20874,-2381,1,0,1,0,2,NO
5008991,F,Y,Y,0,270000,Working,Secondary / secondary special,Separated,House / apartment,-16582,-1194,1,1,1,0,1,NO
5008998,F,Y,Y,0,270000,Working,Higher education,Married,House / apartment,-10628,-828,1,0,0,1,2,NO
5009000,M,Y,Y,0,157500,Working,Secondary / secondary special,Married,House / apartment,-9927,-828,1,0,0,0,2,NO
5009001,M,N,Y,0,166500,Working,Secondary / secondary special,Married,House / apartment,-18926,-6276,1,1,1,0,2,NO
5009016,F,N,Y,2,216000,State servant,Higher education,Married,House / apartment,-15444,-3112,1,0,0,1,4,NO
5009027,F,Y,Y,0,270000,Commercial associate,Secondary / secondary special,Married,House / apartment,-19861,-10843,1,0,0,1,2,NO
5009028,F,Y,Y,0,225000,Commercial associate,Secondary / secondary special,Married,House / apartment,-14450,-2777,1,0,0,0,2,NO
5009031,F,N,Y,0,315000,Working,Secondary / secondary special,Single / not married,House / apartment,-10554,-1194,1,0,0,0,1,NO
5009033,F,N,N,0,255150,Pensioner,Incomplete higher,Civil marriage,Rented apartment,-18682,365243,1,0,0,0,2,NO
5009039,F,N,Y,2,157500,Working,Secondary / secondary special,Single / not married,House / apartment,-14326,-555,1,0,0,0,3,NO
5009042,F,N,Y,0,148500,Working,Higher education,Married,House / apartment,-17641,-889,1,0,0,0,2,NO
5009050,F,N,Y,2,202500,Working,Higher education,Married,House / apartment,-10997,-2289,1,0,0,1,4,NO
5009056,M,N,Y,0,202500,Working,Secondary / secondary special,Single / not married,House / apartment,-8861,-889,1,1,0,0,1,NO
5009058,F,Y,Y,0,112500,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-7489,-797,1,0,1,1,1,NO
5009060,F,N,Y,0,94500,Pensioner,Higher education,Married,House / apartment,-22331,365243,1,0,1,0,2,NO
5009062,M,Y,Y,0,315000,Working,Secondary / secondary special,Civil marriage,House / apartment,-10450,-2077,1,0,0,0,2,NO
5009071,F,Y,Y,0,270000,Commercial associate,Incomplete higher,Civil marriage,Municipal apartment,-10264,-3173,1,0,1,1,2,NO
5009074,F,Y,Y,1,450000,State servant,Higher education,Married,House / apartment,-17726,-708,1,0,1,1,3,NO
5009078,M,N,Y,1,180000,Working,Secondary / secondary special,Married,With parents,-14122,-1286,1,0,0,0,3,NO
5009079,F,N,Y,0,112500,Working,Higher education,Civil marriage,House / apartment,-10064,-3173,1,0,0,1,2,NO
5009083,M,N,Y,0,90000,Working,Secondary / secondary special,Married,House / apartment,-20531,-5730,1,0,0,0,2,NO
5009088,M,Y,N,2,202500,Commercial associate,Higher education,Married,House / apartment,-14730,-2989,1,0,0,0,4,NO
5009090,M,Y,Y,0,247500,Working,Secondary / secondary special,Married,House / apartment,-12628,-4025,1,0,0,0,2,NO
5009092,M,Y,Y,1,765000,Working,Higher education,Married,House / apartment,-12197,-1194,1,1,0,0,3,NO
5009096,F,N,Y,1,270000,Commercial associate,Secondary / secondary special,Married,House / apartment,-13679,-4391,1,0,0,1,3,NO
5009099,F,N,Y,0,315000,Working,Higher education,Separated,House / apartment,-13271,-555,1,0,0,0,1,NO
5009103,M,Y,Y,2,157500,Working,Secondary / secondary special,Married,With parents,-12859,-4056,1,0,1,0,4,NO
5009108,M,N,Y,0,360000,Commercial associate,Secondary / secondary special,Married,House / apartment,-15321,-2747,1,0,0,0,2,NO
5009110,F,N,Y,0,112500,Commercial associate,Higher education,Married,House / apartment,-8842,-312,1,0,0,1,2,NO
5009116,F,N,N,0,157500,Commercial associate,Higher education,Separated,With parents,-15737,-432,1,0,0,0,1,NO
5009133,M,N,Y,0,382500,Pensioner,Secondary / secondary special,Widow,House / apartment,-21673,365243,1,0,0,0,1,NO
5009141,F,N,N,0,135000,Working,Secondary / secondary special,Civil marriage,House / apartment,-9657,-1560,1,1,1,0,2,NO
5009143,M,Y,N,0,225000,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-18289,365243,1,0,0,0,2,NO
5009145,M,Y,N,0,315000,Working,Higher education,Married,House / apartment,-15825,-3720,1,1,1,0,2,NO
5009151,F,N,N,0,180000,Working,Secondary / secondary special,Married,House / apartment,-19575,-2901,1,0,0,0,2,NO
5009163,F,N,N,0,157500,Working,Secondary / secondary special,Married,House / apartment,-12915,-3174,1,0,1,0,2,NO
5009170,F,Y,N,0,144000,Pensioner,Secondary / secondary special,Married,House / apartment,-22877,365243,1,0,1,1,2,NO
5009177,M,Y,N,0,229500,Working,Incomplete higher,Married,Co-op apartment,-18325,-1256,1,0,0,0,2,NO
5009186,F,N,N,0,270000,Working,Higher education,Married,House / apartment,-17573,-5792,1,1,1,0,2,NO
5009195,F,N,N,0,292500,State servant,Secondary / secondary special,Married,House / apartment,-20953,-8684,1,1,1,0,2,NO
5009213,F,N,N,0,270000,Working,Higher education,Married,House / apartment,-12333,-860,1,1,1,0,2,NO
5009220,F,Y,N,0,225000,Working,Secondary / secondary special,Married,House / apartment,-14667,-798,1,1,0,0,2,NO
5009238,M,Y,N,0,157500,Working,Incomplete higher,Married,With parents,-10611,-982,1,0,1,0,2,NO
5009242,F,N,N,0,74250,Working,Higher education,Separated,Municipal apartment,-19082,-5243,1,0,1,0,1,NO
5009246,F,N,N,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,-14201,-2139,1,0,1,0,2,NO
5009249,M,Y,N,1,135000,Working,Secondary / secondary special,Married,House / apartment,-9957,-921,1,1,0,0,3,NO
5009255,F,N,N,0,144000,Working,Secondary / secondary special,Single / not married,House / apartment,-15970,-8987,1,0,0,0,1,NO
5009260,F,N,N,0,202500,State servant,Higher education,Married,With parents,-14562,-1287,1,0,1,0,2,NO
5009264,F,N,N,0,40500,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-21091,365243,1,0,0,0,1,NO
5009265,M,Y,N,0,337500,State servant,Higher education,Married,With parents,-10266,-1652,1,1,1,0,2,NO
5009270,M,N,N,0,180000,Commercial associate,Secondary / secondary special,Married,Municipal apartment,-14781,-2443,1,0,1,0,2,NO
5009278,F,N,N,0,130500,Working,Secondary / secondary special,Civil marriage,House / apartment,-15140,-4816,1,0,1,0,2,NO
5009295,F,N,N,0,144000,Pensioner,Secondary / secondary special,Married,House / apartment,-21041,365243,1,0,1,0,2,NO
5009297,F,N,N,0,193500,Working,Secondary / secondary special,Single / not married,Municipal apartment,-16099,-1866,1,0,1,0,1,NO
5009302,F,N,N,0,112500,Pensioner,Secondary / secondary special,Widow,House / apartment,-22061,365243,1,0,0,0,1,NO
5009306,F,Y,N,0,135000,Pensioner,Secondary / secondary special,Married,House / apartment,-20140,365243,1,0,1,1,2,NO
5009325,M,Y,N,0,267750,Working,Higher education,Married,House / apartment,-20991,-4727,1,0,1,0,2,NO
5009335,F,N,N,0,139500,Working,Higher education,Separated,House / apartment,-16203,-7100,1,0,0,0,1,NO
5009338,M,N,N,0,67500,Working,Secondary / secondary special,Married,House / apartment,-18674,-5304,1,1,1,0,2,NO
5009340,M,Y,N,0,252000,Working,Secondary / secondary special,Married,House / apartment,-10750,-2443,1,0,0,0,2,NO
5009349,M,N,N,0,180000,Commercial associate,Lower secondary,Married,House / apartment,-21155,-130,1,0,1,0,2,NO
5009355,F,N,N,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,-19692,-5273,1,1,1,0,2,NO
5009359,F,Y,N,0,900000,Working,Higher education,Single / not married,House / apartment,-19063,-7404,1,0,0,0,1,NO
5009361,M,Y,N,0,180000,Commercial associate,Higher education,Civil marriage,House / apartment,-14867,-586,1,1,0,0,2,NO
5009368,M,Y,N,0,115290,Pensioner,Secondary / secondary special,Married,House / apartment,-23187,365243,1,0,1,1,2,NO
5009378,F,N,N,2,225000,Working,Higher education,Married,House / apartment,-11281,-1744,1,1,0,1,4,NO
5009379,M,Y,N,1,135000,Working,Secondary / secondary special,Married,House / apartment,-9430,-1195,1,1,0,0,3,NO
5009383,F,N,N,0,450000,State servant,Higher education,Married,House / apartment,-14718,-5578,1,0,1,0,2,NO
5009389,M,N,N,0,279000,State servant,Higher education,Single / not married,House / apartment,-11042,-3174,1,0,0,0,1,NO
5009396,F,N,N,1,76500,Working,Higher education,Civil marriage,House / apartment,-12506,-495,1,1,0,0,3,NO
5009402,M,N,N,0,202500,Commercial associate,Secondary / secondary special,Married,House / apartment,-20604,-252,1,1,1,0,2,NO
5009404,F,N,N,2,67500,Commercial associate,Higher education,Married,House / apartment,-10331,-433,1,0,1,0,4,NO
5009405,M,N,N,0,234000,Working,Incomplete higher,Married,House / apartment,-13923,-2290,1,1,1,0,2,NO
5009415,F,N,N,0,90000,Working,Secondary / secondary special,Single / not married,House / apartment,-19304,-464,1,1,1,0,1,NO
5009423,F,N,N,0,81000,Working,Secondary / secondary special,Civil marriage,House / apartment,-19569,-1013,1,0,0,0,2,NO
5009424,M,N,N,0,108000,Working,Secondary / secondary special,Single / not married,Co-op apartment,-8182,-1317,1,1,0,0,1,NO
5009426,M,N,N,0,99000,Pensioner,Secondary / secondary special,Married,House / apartment,-19944,365243,1,0,0,0,2,NO
5009428,M,N,N,0,198000,Working,Secondary / secondary special,Single / not married,With parents,-8657,-1164,1,1,0,0,1,NO
5009431,M,Y,N,0,360000,State servant,Higher education,Married,Municipal apartment,-14835,-1195,1,1,1,0,2,NO
5009435,F,N,N,0,135000,Pensioner,Secondary / secondary special,Married,House / apartment,-19940,365243,1,0,1,0,2,NO
5009436,F,N,N,0,76500,Pensioner,Secondary / secondary special,Married,House / apartment,-23480,365243,1,0,0,0,2,NO
5009441,F,N,N,0,90000,State servant,Secondary / secondary special,Married,House / apartment,-9489,-1682,1,0,1,0,2,NO
5009445,F,Y,N,0,270000,Commercial associate,Incomplete higher,Civil marriage,House / apartment,-13855,-739,1,1,0,0,2,NO
5009447,M,Y,N,0,81000,Working,Secondary / secondary special,Married,With parents,-14435,-3386,1,1,0,0,2,NO
5009450,F,N,N,0,202500,State servant,Higher education,Married,House / apartment,-17274,-1348,1,0,1,0,2,NO
5009459,F,N,N,0,157500,Working,Secondary / secondary special,Married,House / apartment,-19702,-9870,1,1,1,0,2,NO
5009473,F,N,N,0,180000,Commercial associate,Higher education,Married,House / apartment,-13241,-4451,1,0,1,0,2,NO
5009484,F,N,N,0,135000,Working,Secondary / secondary special,Married,Municipal apartment,-12130,-798,1,0,0,0,2,NO
5009487,F,N,N,2,135000,Working,Secondary / secondary special,Married,House / apartment,-9736,-2870,1,0,0,0,4,NO
5009490,M,Y,N,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,-16196,-6218,1,1,1,0,2,NO
5009493,M,Y,N,0,270000,Commercial associate,Secondary / secondary special,Married,House / apartment,-11706,-1164,1,1,0,1,2,NO
5009507,F,N,N,0,202500,Working,Higher education,Married,House / apartment,-16100,-4939,1,0,1,0,2,NO
5009512,F,N,N,0,157500,Working,Incomplete higher,Married,House / apartment,-16888,-2687,1,0,0,0,2,NO
5009518,M,Y,N,2,180000,Working,Incomplete higher,Married,House / apartment,-12463,-2170,1,1,0,0,4,NO
5009523,M,Y,N,1,112500,Working,Secondary / secondary special,Separated,Co-op apartment,-11998,-1135,1,1,0,0,2,NO
