시도,구군,2019. 09,2019. 10,2019. 11,2019. 12,2020. 01,2020. 02
서울,서울,21,31,40,42,42,41
부산,부산,24,27,35,35,32,34
대구,대구,23,27,41,42,37,38
인천,인천,28,35,41,40,42,37
광주,광주,27,35,43,33,36,32
대전,대전,22,29,43,40,41,38
울산,울산,25,27,34,33,30,31
세종,세종,23,32,45,46,47,43
경기,수원,24,32,42,43,44,42
경기,안양,25,36,48,49,49,46
경기,성남,24,33,42,43,44,43
경기,의정부,22,34,45,45,47,42
경기,광명,29,41,49,42,50,47
경기,안산,27,36,44,45,49,44
경기,평택,33,43,51,47,49,45
경기,과천,26,33,44,43,45,43
경기,구리,23,34,46,48,47,44
경기,의왕,25,33,44,46,47,43
경기,고양,26,37,47,44,46,42
경기,광주,22,32,47,57,54,50
경기,군포,24,36,43,43,44,42
경기,시흥,34,46,53,52,54,47
경기,부천,36,51,57,52,53,45
경기,남양주,21,32,44,44,40,42
경기,용인,24,34,47,50,48,47
경기,김포,28,42,49,48,48,42
경기,오산,24,31,44,41,43,40
경기,하남,18,27,43,43,46,43
경기,화성,28,39,47,46,48,44
경기,양주,23,37,47,42,41,37
경기,동두천,21,33,47,48,45,41
경기,안성,22,37,53,48,47,46
경기,이천,21,35,46,47,47,46
경기,파주,30,45,53,50,48,43
경기,포천,23,35,52,56,56,51
경기,여주,23,34,49,49,47,45
경기,연천,18,29,39,40,36,30
경기,가평,16,26,35,38,36,35
경기,양평,20,29,40,42,41,41
경기,도평균,26,37,47,47,47,44
강원,양구,19,25,35,37,33,34
강원,고성,23,27,28,27,23,28
강원,정선,20,29,37,41,36,40
강원,횡성,20,28,41,46,42,43
강원,춘천,20,31,45,47,45,42
강원,강릉,25,29,-,30,25,32
강원,원주,21,28,38,40,39,36
강원,동해,19,25,30,24,21,28
강원,삼척,20,25,26,25,22,28
강원,평창,24,31,40,43,39,41
강원,양양,17,25,27,26,23,28
강원,속초,25,32,31,31,25,32
강원,영월,21,28,37,37,40,41
강원,철원,20,29,39,40,36,34
강원,홍천,20,29,43,51,50,47
강원,화천,19,23,30,33,32,34
강원,태백,25,31,38,36,33,34
강원,인제,15,21,28,31,27,30
강원,도평균,21,28,36,37,34,36
충북,괴산,20,32,47,40,38,36
충북,음성,21,31,50,46,44,41
충북,청주,24,34,47,47,48,45
