지역1,지역2,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06
서울,종로구,709250,709679,711357,713732,715696,720375,1022319,1023083,1023917,1023250,1021861,1022514
서울,중구,768833,770233,771567,776133,780283,783633,795743,796557,797357,796986,796157,796086
서울,용산구,1364605,1366066,1368579,1374658,1383368,1392408,1389939,1392207,1393524,1392439,1389780,1389963
서울,성동구,863255,864926,867574,873383,879979,887713,899118,900431,901725,901549,900892,902245
서울,광진구,896184,897658,899434,906013,910118,916039,1014402,1014671,1014598,1013671,1012195,1013329
서울,동대문구,584181,585085,586223,589319,592564,596926,652774,654802,656208,656472,655708,657179
서울,중랑구,442080,442398,442989,444489,446216,447364,451372,452181,453085,453660,453798,454000
서울,성북구,553717,554217,555113,557019,559651,562491,589518,590634,592536,592268,591607,591839
서울,강북구,478667,479545,480848,482591,484242,485515,495000,496847,498750,500042,499917,500583
서울,도봉구,426387,426802,427491,429009,430670,432802,420883,422419,424285,425803,425829,426723
서울,노원구,441857,442292,443195,445448,447370,449487,467222,468846,470932,472685,472710,473617
서울,은평구,533233,533256,534337,536500,538756,542267,601337,602496,603490,603612,603653,603929
서울,서대문구,606607,607619,608571,611119,614726,618262,643739,644826,645804,645533,644891,644891
서울,마포구,832408,835071,838031,845745,852337,858827,986221,988750,990308,989048,985192,984317
서울,양천구,792022,793000,793649,799910,807642,827381,876286,876079,876279,875343,873414,875407
서울,강서구,576169,576645,577379,579476,583266,588250,615250,615932,616598,617386,617000,617136
서울,구로구,525191,525691,526582,528918,532273,535682,553669,555398,557297,559042,560483,562559
서울,금천구,403266,403594,404125,405625,407875,410234,514411,514666,515526,516397,516756,517782
서울,영등포구,770630,771861,773546,778546,784352,790361,811102,805448,806083,806032,805485,806553
서울,동작구,792908,793969,795327,799561,806469,819582,835058,836250,837442,837192,836577,837298
서울,관악구,492174,492419,492965,494407,497023,500186,510957,511435,512663,514283,515196,516554
서울,서초구,1527097,1531560,1536963,1546149,1559873,1594724,1775269,1776966,1770507,1750110,1731616,1732849
서울,강남구,1584787,1589466,1593747,1611242,1630096,1678062,1758527,1755204,1749409,1732086,1714102,1714914
서울,송파구,1102847,1104521,1106472,1118417,1130090,1166361,1256877,1251701,1245727,1235416,1234545,1240305
