longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-122.14,37.68,31,3184,716,1561,628,2.7955,183100,NEAR BAY
-118.21,34.12,52,1590,360,1127,321,3.4625,173900,<1H OCEAN
-122.08,37.37,29,1229,,707,194,7.1108,465000,NEAR BAY
-118.34,33.94,37,3107,903,3456,734,2.182,147500,<1H OCEAN
-118.08,33.9,42,1768,372,1155,368,3.558,161100,<1H OCEAN
-121.35,38.56,16,2278,370,1203,371,5.0622,132400,INLAND
-121.89,37.28,35,2418,375,988,374,6.0936,365400,<1H OCEAN
-117.95,34.05,34,1428,227,890,249,5.8722,204800,<1H OCEAN
-122.15,37.76,39,1823,286,763,270,6.0749,196900,NEAR BAY
-120.55,38.07,27,1199,224,463,199,2.9063,92200,INLAND
-119.8,36.8,43,1951,288,725,308,6.3359,169300,INLAND
-117.96,33.69,20,3123,441,1319,432,6.091,290400,<1H OCEAN
-117.9,33.98,20,9893,2283,7228,2159,3.253,186700,<1H OCEAN
-117.93,33.85,33,2489,546,1857,444,2.9474,178400,<1H OCEAN
-118.28,34.1,49,2843,880,2004,796,2.7875,217300,<1H OCEAN
-120.27,34.72,14,1289,277,693,237,3.2569,230800,<1H OCEAN
-119.17,34.27,18,8010,1539,3982,1483,4.0905,236500,NEAR OCEAN
-122.21,37.48,20,505,216,326,216,2.9286,237500,NEAR BAY
-122.34,37.57,52,2635,408,967,374,7.0422,500001,NEAR OCEAN
-118.29,34.17,12,2238,682,1882,611,2.9,208300,<1H OCEAN
-118.38,33.8,36,4421,702,1433,624,8.0838,500001,NEAR OCEAN
-118.08,34.08,38,1889,407,1330,396,3.9219,205200,<1H OCEAN
-119.57,36.1,36,1729,317,737,278,3.5313,68800,INLAND
-118.31,33.75,36,2715,474,1303,457,4.6042,357300,NEAR OCEAN
-122.42,40.63,23,2248,489,1132,444,1.6429,80400,INLAND
-121.47,38.5,17,1895,424,620,417,1.7188,137500,INLAND
-119.83,36.37,25,1549,269,819,272,2.7159,101400,INLAND
-121.46,37.73,20,2039,373,862,330,5.1629,222900,INLAND
-117.96,34.14,27,2221,542,1328,523,2.5275,151700,INLAND
-122.04,37.32,27,2826,451,1259,439,5.7528,431400,<1H OCEAN
-121.94,37.75,16,5121,735,2464,761,6.6204,296100,<1H OCEAN
-121.87,37.34,52,1087,166,650,194,6.6345,309000,<1H OCEAN
-117.17,32.73,52,55,18,65,22,1.6591,112500,NEAR OCEAN
-122.26,37.55,17,4576,814,1941,807,5.9572,443800,NEAR BAY
-118.31,33.82,39,2198,425,1160,436,4.1406,323700,<1H OCEAN
