년,월,운항도착,운항출발,운항계,여객도착,여객출발,여객계,화물도착,화물출발,화물계
2002,1,4819 ,4829 ,9648 ,820552 ,856870 ,1677422 ,64511 ,77184 ,141695 
2002,2,4543 ,4544 ,9087 ,813377 ,791115 ,1604492 ,66329 ,74556 ,140885 
2002,3,4999 ,4995 ,9994 ,879511 ,849806 ,1729317 ,84273 ,94535 ,178808 
2002,4,5058 ,5049 ,10107 ,838173 ,846182 ,1684355 ,75450 ,88463 ,163912 
2002,5,5344 ,5345 ,10689 ,818034 ,802216 ,1620250 ,78388 ,90242 ,168630 
2002,6,5274 ,5275 ,10549 ,766387 ,786825 ,1553212 ,80276 ,90170 ,170446 
2002,7,5580 ,5576 ,11156 ,912306 ,979788 ,1892094 ,79282 ,95223 ,174504 
2002,8,5870 ,5858 ,11728 ,1141321 ,1057708 ,2199029 ,80383 ,92097 ,172480 
2002,9,5355 ,5349 ,10704 ,845483 ,831926 ,1677409 ,77076 ,92366 ,169442 
2002,10,5474 ,5487 ,10961 ,913098 ,926075 ,1839173 ,83319 ,103873 ,187191 
2002,11,5293 ,5294 ,10587 ,846513 ,856277 ,1702790 ,81512 ,99325 ,180837 
2002,12,5420 ,5419 ,10839 ,881246 ,859616 ,1740862 ,80512 ,87525 ,168037 
2003,1,5617 ,5633 ,11250 ,936872 ,982784 ,1919656 ,73736 ,86481 ,160217 
2003,2,5009 ,4985 ,9994 ,850903 ,853558 ,1704461 ,72430 ,79696 ,152126 
2003,3,5444 ,5434 ,10878 ,801905 ,763943 ,1565848 ,84020 ,98596 ,182616 
2003,4,4800 ,4790 ,9590 ,542955 ,517320 ,1060275 ,72384 ,87385 ,159769 
2003,5,4670 ,4654 ,9324 ,508108 ,506362 ,1014470 ,75450 ,90209 ,165658 
2003,6,4663 ,4669 ,9332 ,627211 ,648536 ,1275747 ,78573 ,94137 ,172709 
2003,7,5518 ,5520 ,11038 ,853786 ,927129 ,1780915 ,82436 ,98916 ,181351 
2003,8,6030 ,6023 ,12053 ,1126549 ,1047700 ,2174249 ,85679 ,102443 ,188122 
2003,9,5660 ,5641 ,11301 ,858370 ,864582 ,1722952 ,82507 ,103193 ,185700 
2003,10,5955 ,5961 ,11916 ,923881 ,940903 ,1864784 ,90558 ,114920 ,205478 
2003,11,5770 ,5774 ,11544 ,906018 ,941245 ,1847263 ,89074 ,113418 ,202492 
2003,12,5980 ,5975 ,11955 ,944929 ,914054 ,1858983 ,88128 ,106148 ,194276 
2004,1,6176 ,6153 ,12329 ,980885 ,1034419 ,2015304 ,78069 ,96203 ,174271 
2004,2,5612 ,5609 ,11221 ,915404 ,892406 ,1807810 ,89421 ,103330 ,192751 
2004,3,5915 ,5889 ,11804 ,875254 ,844136 ,1719390 ,94976 ,116645 ,211621 
2004,4,5889 ,5884 ,11773 ,898653 ,888829 ,1787482 ,91122 ,111114 ,202236 
2004,5,6157 ,6132 ,12289 ,944220 ,939306 ,1883526 ,94400 ,115415 ,209814 
2004,6,6048 ,6057 ,12105 ,972831 ,986170 ,1959001 ,94556 ,115193 ,209749 
2004,7,6616 ,6612 ,13228 ,1097194 ,1158207 ,2255401 ,99692 ,116747 ,216439 
2004,8,6803 ,6782 ,13585 ,1274875 ,1191852 ,2466727 ,97462 ,114613 ,212075 
2004,9,6352 ,6358 ,12710 ,968594 ,984694 ,1953288 ,94981 ,116684 ,211665 
2004,10,6546 ,6564 ,13110 ,1062048 ,1065466 ,2127514 ,100589 ,125976 ,226565 
2004,11,6309 ,6306 ,12615 ,1022194 ,1029458 ,2051652 ,94531 ,123380 ,217911 
2004,12,6486 ,6508 ,12994 ,1037094 ,1019998 ,2057092 ,98017 ,114699 ,212716 
2005,1,6578 ,6581 ,13159 ,1062028 ,1117610 ,2179638 ,90661 ,107793 ,198453 
2005,2,6063 ,6065 ,12128 ,1026833 ,998966 ,2025799 ,86750 ,98049 ,184799 
2005,3,6483 ,6494 ,12977 ,1010704 ,1011912 ,2022616 ,102424 ,119660 ,222084 
2005,4,6507 ,6505 ,13012 ,1013824 ,1021015 ,2034839 ,96979 ,113516 ,210496 
2005,5,6762 ,6760 ,13522 ,1025316 ,1054412 ,2079728 ,94753 ,114091 ,208843 
2005,6,6637 ,6641 ,13278 ,1093111 ,1106669 ,2199780 ,100394 ,114504 ,214898 
2005,7,7042 ,7060 ,14102 ,1173007 ,1247635 ,2420642 ,99390 ,114662 ,214052 
2005,8,7073 ,7083 ,14156 ,1340469 ,1269646 ,2610115 ,94239 ,112430 ,206669 
2005,9,6646 ,6647 ,13293 ,1016976 ,1035310 ,2052286 ,97119 ,115514 ,212633 
2005,10,6957 ,6960 ,13917 ,1148528 ,1121457 ,2269985 ,103123 ,126418 ,229542 
2005,11,6709 ,6750 ,13459 ,1018598 ,1027468 ,2046066 ,101896 ,124137 ,226032 
2005,12,6909 ,6921 ,13830 ,1071608 ,1038312 ,2109920 ,103896 ,114970 ,218866 
2006,1,7162 ,7147 ,14309 ,1148708 ,1143450 ,2292158 ,97778 ,109513 ,207291 
2006,2,6456 ,6475 ,12931 ,1090768 ,1104744 ,2195512 ,95261 ,103260 ,198522 
2006,3,7060 ,7076 ,14136 ,1073443 ,1042160 ,2115603 ,116446 ,123524 ,239970 
2006,4,7107 ,7104 ,14211 ,1082405 ,1073044 ,2155449 ,109277 ,117266 ,226543 
2006,5,7317 ,7320 ,14637 ,1132629 ,1119103 ,2251732 ,104675 ,112718 ,217393 
2006,6,7278 ,7291 ,14569 ,1129146 ,1132771 ,2261917 ,109062 ,114082 ,223143 
2006,7,7690 ,7700 ,15390 ,1223459 ,1305577 ,2529036 ,112923 ,117192 ,230115 
2006,8,8092 ,8081 ,16173 ,1444240 ,1351244 ,2795484 ,115891 ,121445 ,237336 
2006,9,7848 ,7850 ,15698 ,1130314 ,1166800 ,2297114 ,118739 ,126917 ,245656 
2006,10,8321 ,8325 ,16646 ,1256732 ,1224607 ,2481339 ,118874 ,129258 ,248132 
2006,11,8116 ,8131 ,16247 ,1182304 ,1196931 ,2379235 ,118593 ,132057 ,250649 
2006,12,8530 ,8535 ,17065 ,1220986 ,1215551 ,2436537 ,120263 ,124088 ,244351 
2007,1,8729 ,8735 ,17464 ,1289449 ,1366673 ,2656122 ,108750 ,116249 ,225000 
2007,2,8036 ,8036 ,16072 ,1260901 ,1186197 ,2447098 ,110719 ,109817 ,220535 
2007,3,8651 ,8669 ,17320 ,1271005 ,1249102 ,2520107 ,132406 ,130790 ,263195 
2007,4,8599 ,8599 ,17198 ,1220375 ,1204363 ,2424738 ,123747 ,127121 ,250868 
2007,5,8848 ,8840 ,17688 ,1263285 ,1272809 ,2536094 ,122530 ,124265 ,246795 
2007,6,8639 ,8619 ,17258 ,1262565 ,1257595 ,2520160 ,125957 ,124466 ,250423 
2007,7,9177 ,9183 ,18360 ,1376017 ,1455991 ,2832008 ,125992 ,129997 ,255990 
2007,8,9356 ,9333 ,18689 ,1573064 ,1469930 ,3042994 ,127319 ,131399 ,258717 
2007,9,8938 ,8919 ,17857 ,1266412 ,1243063 ,2509475 ,125580 ,134678 ,260258 
2007,10,8968 ,8963 ,17931 ,1314232 ,1328262 ,2642494 ,127918 ,144074 ,271992 
2007,11,8725 ,8733 ,17458 ,1263542 ,1265175 ,2528717 ,129416 ,143373 ,272789 
2007,12,9060 ,9071 ,18131 ,1291554 ,1275903 ,2567457 ,130224 ,132246 ,262471 
2008,1,9171 ,9197 ,18368 ,1387787 ,1429411 ,2817198 ,120986 ,128511 ,249497 
2008,2,8540 ,8554 ,17094 ,1354222 ,1303463 ,2657685 ,115466 ,119160 ,234626 
2008,3,8935 ,8951 ,17886 ,1275695 ,1224691 ,2500386 ,129983 ,137825 ,267808 
