SIG_CD,SID_KOR_NM,SIG_KOR_NM,SIG_ENG_NM
"11110",서울,종로구,Jongno-gu
"11140",서울,중구,Jung-gu
"11170",서울,용산구,Yongsan-gu
"11200",서울,성동구,Seongdong-gu
"11215",서울,광진구,Gwangjin-gu
"11230",서울,동대문구,Dongdaemun-gu
"11260",서울,중랑구,Jungnang-gu
"11290",서울,성북구,Seongbuk-gu
"11305",서울,강북구,Gangbuk-gu
"11320",서울,도봉구,Dobong-gu
"11350",서울,노원구,Nowon-gu
"11380",서울,은평구,Eunpyeong-gu
"11410",서울,서대문구,Seodaemun-gu
"11440",서울,마포구,Mapo-gu
"11470",서울,양천구,Yangcheon-gu
"11500",서울,강서구,Gangseo-gu
"11530",서울,구로구,Guro-gu
"11545",서울,금천구,Geumcheon-gu
"11560",서울,영등포구,Yeongdeungpo-gu
"11590",서울,동작구,Dongjak-gu
"11620",서울,관악구,Gwanak-gu
"11650",서울,서초구,Seocho-gu
"11680",서울,강남구,Gangnam-gu
"11710",서울,송파구,Songpa-gu
"11740",서울,강동구,Gangdong-gu
"26110",부산,중구,Jung-gu
"26140",부산,서구,Seo-gu
"26170",부산,동구,Dong-gu
"26200",부산,영도구,Yeongdo-gu
"26230",부산,부산진구,Busanjin-gu
"26260",부산,동래구,Dongnae-gu
"26290",부산,남구,Nam-gu
"26320",부산,북구,Buk-gu
"26350",부산,해운대구,Haeundae-gu
"26380",부산,사하구,Saha-gu
"26410",부산,금정구,Geumjeong-gu
"26440",부산,강서구,Gangseo-gu
"26470",부산,연제구,Yeonje-gu
"26500",부산,수영구,Suyeong-gu
"26530",부산,사상구,Sasang-gu
"26710",부산,기장군,Gijang-gun
"27110",대구,중구,Jung-gu
"27140",대구,동구,Dong-gu
"27170",대구,서구,Seo-gu
"27200",대구,남구,Nam-gu
"27230",대구,북구,Buk-gu
"27260",대구,수성구,Suseong-gu
"27290",대구,달서구,Dalseo-gu
"27710",대구,달성군,Dalseong-gun
"28110",인천,중구,Jung-gu
"28140",인천,동구,Dong-gu
"28177",인천,미추홀구,Michuhol-gu
"28185",인천,연수구,Yeonsu-gu
"28200",인천,남동구,Namdong-gu
"28237",인천,부평구,Bupyeong-gu
"28245",인천,계양구,Gyeyang-gu
"28260",인천,서구,Seo-gu
"28710",인천,강화군,Ganghwa-gun
"28720",인천,옹진군,Ongjin-gun
"29110",광주,동구,Dong-gu
"29140",광주,서구,Seo-gu
"29155",광주,남구,Nam-gu
"29170",광주,북구,Buk-gu
"29200",광주,광산구,Gwangsan-gu
"30110",대전,동구,Dong-gu
"30140",대전,중구,Jung-gu
"30170",대전,서구,Seo-gu
"30200",대전,유성구,Yuseong-gu
"30230",대전,대덕구,Daedeok-gu
"31110",울산,중구,Jung-gu
"31140",울산,남구,Nam-gu
"31170",울산,동구,Dong-gu
"31200",울산,북구,Buk-gu
"31710",울산,울주군,Ulju-gun
"36110",세종,세종특별자치시,Sejong-si
"41111",경기,수원시 장안구,"Jangan-gu, Suwon-si"
"41113",경기,수원시 권선구,"Gwonseon-gu, Suwon-si"
"41115",경기,수원시 팔달구,"Paldal-gu, Suwon-si"
"41117",경기,수원시 영통구,"Yeongtong-gu, Suwon-si"
"41131",경기,성남시 수정구,"Sujeong-gu, Seongnam-si"
"41133",경기,성남시 중원구,"Jungwon-gu, Seongnam-si"
"41135",경기,성남시 분당구,"Bundang-gu, Seongnam-si"
"41150",경기,의정부시,Uijeongbu-si
"41171",경기,안양시만안구,"Manan-gu, Anyang-si"
"41173",경기,안양시동안구,"Dongan-gu, Anyang-si"
"41190",경기,부천시,Bucheon-si
"41210",경기,광명시,Gwangmyeong-si
"41220",경기,평택시,Pyeongtaek-si
"41250",경기,동두천시,Dongducheon-si
"41271",경기,안산시상록구,"Sangnok-gu, Ansan-si"
"41273",경기,안산시단원구,"Danwon-gu, Ansan-si"
"41281",경기,고양시덕양구,"Deogyang-gu, Goyang-si"
"41285",경기,고양시일산동구,"Ilsandong-gu, Goyang-si"
"41287",경기,고양시일산서구,"Ilsanseo-gu, Goyang-si"
"41290",경기,과천시,Gwacheon-si
"41310",경기,구리시,Guri-si
"41360",경기,남양주시,Namyangju-si
"41370",경기,오산시,Osan-si
"41390",경기,시흥시,Siheung-si
"41410",경기,군포시,Gunpo-si
"41430",경기,의왕시,Uiwang-si
"41450",경기,하남시,Hanam-si
"41461",경기,용인시처인구,"Cheoin-gu, Yongin-si"
"41463",경기,용인시기흥구,"Giheung-gu, Yongin-si"
"41465",경기,용인시수지구,"Suji-gu, Yongin-si"
"41480",경기,파주시,Paju-si
"41500",경기,이천시,Icheon-si
"41550",경기,안성시,Anseong-si
"41570",경기,김포시,Gimpo-si
"41590",경기,화성시,Hwaseong-si
"41610",경기,광주시,Gwangju-si
"41630",경기,양주시,Yangju-si
"41650",경기,포천시,Pocheon-si
"41670",경기,여주시,Yeoju-si
"41800",경기,연천군,Yeoncheon-gun
"41820",경기,가평군,Gapyeong-gun
"41830",경기,양평군,Yangpyeong-gun
"42110",강원,춘천시,Chuncheon-si
"42130",강원,원주시,Wonju-si
"42150",강원,강릉시,Gangneung-si
"42170",강원,동해시,Donghae-si
"42190",강원,태백시,Taebaek-si
"42210",강원,속초시,Sokcho-si
"42230",강원,삼척시,Samcheok-si
"42720",강원,홍천군,Hongcheon-gun
"42730",강원,횡성군,Hoengseong-gun
"42750",강원,영월군,Yeongwol-gun
"42760",강원,평창군,Pyeongchang-gun
"42770",강원,정선군,Jeongseon-gun
"42780",강원,철원군,Cheorwon-gun
"42790",강원,화천군,Hwacheon-gun
"42800",강원,양구군,Yanggu-gun
"42810",강원,인제군,Inje-gun
"42820",강원,고성군,Goseong-gun
"42830",강원,양양군,Yangyang-gun
"43111",충북,청주시 상당구,"Sangdang-gu, Cheongju-si"
"43112",충북,청주시 서원구,"Seowon-gu, Cheongju-si"
"43113",충북,청주시 흥덕구,"Heungdeok-gu, Cheongju-si"
"43114",충북,청주시 청원구,"Cheongwon-gu, Cheongju-si"
