지역,총인구수,남자인구수,여자인구수
서울,9720846 ,4732275 ,4988571 
부산,3404423 ,1668618 ,1735805 
대구,2427954 ,1198815 ,1229139 
인천,2947217 ,1476813 ,1470404 
광주,1455048 ,720060 ,734988 
대전,1471040 ,734441 ,736599 
울산,1142190 ,586939 ,555251 
세종,345341 ,172234 ,173107 
경기도,13338020 ,6711047 ,6626973 
강원도,1539282 ,774325 ,764957 
충북,1597593 ,809657 ,787936 
충남,2119771 ,1081224 ,1038547 
전북,1808802 ,899137 ,909665 
전남,1854618 ,931898 ,922720 
경북,2646493 ,1332780 ,1313713 
경남,3349454 ,1686331 ,1663123 
제주,671316 ,337343 ,333973 
