order_date,product,quantity,amount
2019-01-02,p1030071,2,7900
2019-01-02,p1012761,1,1700
2019-01-02,p1012581,1,1000
2019-01-02,p1175481,1,1300
2019-01-02,p1178011,1,8800
2019-01-02,p1012751,2,2700
2019-01-02,p1097821,1,1000
2019-01-02,p1178011,1,8800
2019-01-02,p1178011,1,8800
2019-01-02,p1194801,1,8200
2019-01-02,p1012751,1,1350
2019-01-02,p1089531,1,2600
2019-01-02,p1133371,2,2000
2019-01-02,p1178011,1,8800
2019-01-02,p1005771,1,1650
2019-01-02,p1072601,1,3700
2019-01-02,p1097821,1,1000
2019-01-02,p1052661,2,2910
2019-01-02,p1194801,2,16400
2019-01-02,p1175481,1,1300
2019-01-02,p1072601,2,7400
2019-01-02,p1012581,1,1000
2019-01-02,p1005771,1,1650
2019-01-02,p1005891,2,3500
2019-01-02,p1175481,1,1300
2019-01-02,p1005891,1,1750
2019-01-02,p1012811,1,2500
2019-01-02,p1072601,1,3700
2019-01-02,p1178011,1,8800
2019-01-02,p1012581,1,1000
2019-01-02,p1207281,1,2600
2019-01-02,p1178011,1,8800
2019-01-02,p1012751,1,1350
2019-01-02,p1012811,1,2500
2019-01-02,p1030071,1,3950
2019-01-02,p1072601,1,3700
2019-01-02,p1012641,1,1350
2019-01-02,p1178011,1,8800
2019-01-02,p1052661,1,1455
2019-01-02,p1097821,1,1000
2019-01-02,p1139681,2,1818
2019-01-02,p1139701,2,2090
2019-01-02,p1012751,1,1350
2019-01-02,p1005771,1,1650
2019-01-02,p1012811,1,2500
2019-01-02,p1072601,1,3700
2019-01-02,p1119071,1,1091
2019-01-02,p1194801,1,8200
2019-01-02,p1178011,1,8800
2019-01-02,p1012761,2,3400
2019-01-02,p1012761,1,1700
2019-01-02,p1234751,2,1818
2019-01-02,p1235451,1,1227
2019-01-02,p1072601,1,3700
2019-01-02,p1012761,1,1700
2019-01-02,p1005771,1,1650
2019-01-02,p1005891,1,1750
2019-01-02,p1119071,1,1091
2019-01-02,p1175481,1,1300
2019-01-02,p1175481,1,1300
2019-01-02,p1194801,2,16400
2019-01-02,p1162631,1,3700
2019-01-02,p1012761,1,1700
2019-01-02,p1100371,3,1200
2019-01-02,p1246581,3,2727
2019-01-02,p1201601,1,2500
2019-01-02,p1207281,1,2600
2019-01-02,p1012811,1,2500
2019-01-02,p1052661,1,1455
2019-01-02,p1097831,1,1455
2019-01-02,p1178011,1,8800
2019-01-02,p1207281,1,2600
2019-01-02,p1005771,1,1650
2019-01-02,p1005891,1,1750
2019-01-02,p1097821,1,1000
2019-01-02,p1072601,2,7400
2019-01-02,p1013161,1,2600
2019-01-02,p1012751,1,1350
2019-01-02,p1005891,1,1750
2019-01-02,p1175481,1,1300
2019-01-02,p1026741,2,6454
2019-01-02,p1175481,1,1300
2019-01-02,p1036481,2,2100
2019-01-02,p1175481,1,1300
2019-01-02,p1175481,2,2600
2019-01-02,p1178011,1,8800
2019-01-02,p1246581,3,2727
2019-01-02,p1072601,2,7400
2019-01-02,p1005771,1,1650
2019-01-02,p1097821,1,1000
2019-01-02,p1178011,1,8800
2019-01-02,p1097831,1,1455
2019-01-02,p1052661,1,1455
2019-01-02,p1072601,1,3700
2019-01-02,p1178011,1,8800
2019-01-02,p1001771,1,3150
2019-01-02,p1012641,1,1350
2019-01-02,p1005891,1,1750
2019-01-02,p1012751,1,1350
2019-01-02,p1175481,1,1300
2019-01-02,p1005771,1,1650
2019-01-02,p1072601,1,3700
2019-01-02,p1133371,1,800
2019-01-02,p1178011,1,8800
2019-01-02,p1072601,2,7400
2019-01-02,p1005891,2,3500
2019-01-02,p1175481,1,1300
2019-01-02,p1030071,1,3950
2019-01-02,p1127201,1,3727
2019-01-02,p1207281,1,2600
2019-01-02,p1052661,2,2910
2019-01-02,p1012761,1,1700
2019-01-02,p1012581,1,1000
2019-01-02,p1100371,1,400
2019-01-02,p1097591,1,600
2019-01-02,p1194801,1,8200
2019-01-02,p1012581,1,1000
2019-01-02,p1012641,1,1350
2019-01-02,p1175481,1,1300
2019-01-02,p1201601,1,2500
2019-01-02,p1005621,1,2900
2019-01-02,p1012751,1,1350
2019-01-02,p1052661,1,1455
2019-01-02,p1072601,1,3700
2019-01-02,p1097821,1,1000
2019-01-02,p1097831,1,1455
2019-01-02,p1149391,1,909
2019-01-02,p1149401,1,909
2019-01-02,p1152861,1,1091
2019-01-02,p1097821,1,1000
2019-01-02,p1012761,1,1700
2019-01-02,p1005891,1,1750
2019-01-02,p1012581,1,1000
2019-01-02,p1100371,3,1200
2019-01-02,p1133371,1,800
2019-01-02,p1013161,1,2600
2019-01-02,p1152861,1,1091
2019-01-02,p1005771,1,1650
2019-01-02,p1089531,1,2600
2019-01-02,p1194801,1,8200
