Order_ID,Order_Date,Gender,Product,Quantity,Total_Sales_USD,Payment_Method,State,Sales_Channel
ORD-00001,2025-03-13,F,Laptop,5,1912.2,Credit Card,IL,
ORD-00002,2025-02-17,F,Camera,7,469.27,PayPal,NY,Online
ORD-00003,2025-12-26,F,Camera,4,4318.84,Bank Transfer,NY,Mobile
ORD-00004,2025-01-04,M,Yoga Mat,5,6089.79,PayPal,FL,
ORD-00005,2025-06-22,M,Desk,3,1015.99,Credit Card,CA,
ORD-00006,2025-11-06,F,Treadmill,6,7645.75,Apple Pay,CA,
ORD-00007,2025-07-13,F,Yoga Mat,2,2920.42,Credit Card,IL,
ORD-00008,2025-12-27,,Microwave,6,5246.89,,CA,
ORD-00009,2025-02-21,F,Handbag,2,,Bank Transfer,TX,
ORD-00010,2025-04-18,,Dumbbell,3,1703.6,,,
ORD-00011,2025-07-14,M,,4,,Apple Pay,,
ORD-00012,2025-01-17,M,Handbag,1,,Apple Pay,FL,
ORD-00013,2025-10-18,F,Air Fryer,4,5485.77,Apple Pay,NY,
ORD-00014,2025-03-13,F,Tent,,1851.6,PayPal,IL,
ORD-00015,2025-07-24,F,Microwave,7,9441.45,Apple Pay,NY,
ORD-00016,2025-01-25,F,Jeans,8,1236.37,Credit Card,NY,
ORD-00017,2025-07-15,F,T-shirt,10,1140.21,Bank Transfer,IL,Online
ORD-00018,2025-02-28,F,Microwave,1,1026.82,Apple Pay,TX,In-Store
ORD-00019,2025-01-02,,Tablet,7,,,IL,
ORD-00020,2025-06-02,M,Jeans,,2616.73,PayPal,NY,
ORD-00021,2025-09-29,M,Sofa,9,12880.62,Credit Card,IL,
ORD-00022,2025-07-05,F,Blender,1,185.56,Apple Pay,NY,
ORD-00023,2025-02-13,F,Smartphone,10,14214.85,Bank Transfer,CA,
ORD-00024,2025-03-26,M,Sneakers,8,,Apple Pay,IL,Online
ORD-00025,2025-12-20,,Bike,9,10240.13,,TX,
ORD-00026,2025-08-20,F,Dumbbell,8,10811.43,Credit Card,NY,Online
ORD-00027,2025-10-11,F,Jacket,6,306.78,PayPal,IL,
ORD-00028,2025-01-31,F,Jacket,2,2135.21,PayPal,CA,
ORD-00029,2025-05-23,M,Tablet,2,1561.9,Bank Transfer,NY,Mobile
ORD-00030,2025-08-31,F,,10,7195.53,Bank Transfer,NY,
ORD-00031,2025-07-30,F,Laptop,,3810.52,Bank Transfer,CA,
ORD-00032,2025-02-25,F,Laptop,7,7684.29,PayPal,NY,
ORD-00033,2025-04-04,M,Jeans,8,1819.76,Apple Pay,FL,
ORD-00034,2025-10-09,F,Jacket,8,9726.98,Credit Card,CA,In-Store
ORD-00035,2025-09-06,F,Laptop,,1064.56,Bank Transfer,NY,
ORD-00036,2025-07-19,M,Treadmill,3,1742.64,Apple Pay,FL,In-Store
ORD-00037,2025-09-07,M,Blender,9,8996.13,PayPal,NY,Online
ORD-00038,2025-10-05,F,Sofa,1,877.19,Credit Card,TX,Online
ORD-00039,2025-09-29,,Laptop,,7256.47,,CA,
ORD-00040,2025-12-12,F,Smartphone,2,1801.3,PayPal,FL,
ORD-00041,2025-01-21,M,Camera,4,3507.2,Credit Card,FL,Online
ORD-00042,2025-06-10,M,Desk,4,4044.78,PayPal,TX,
ORD-00043,2025-02-07,M,,5,3483.46,Credit Card,FL,
ORD-00044,2025-05-16,M,Laptop,9,3019.22,PayPal,TX,
ORD-00045,2025-08-13,F,Smartphone,6,2650.69,Apple Pay,IL,
ORD-00046,2025-02-23,F,Camera,5,6994.99,PayPal,TX,
ORD-00047,2025-05-25,M,Laptop,9,,PayPal,TX,
ORD-00048,2025-01-27,F,Handbag,,6687.24,Credit Card,FL,
ORD-00049,2025-03-08,M,Air Fryer,1,513.66,Apple Pay,NY,In-Store
ORD-00050,2025-02-27,F,Yoga Mat,,,Credit Card,NY,
ORD-00051,2025-08-09,F,Tablet,10,8377.37,PayPal,CA,Mobile
ORD-00052,2025-04-18,F,Desk,1,1350.41,PayPal,CA,
ORD-00053,2025-03-21,F,Microwave,7,10228.95,PayPal,NY,Online
ORD-00054,2025-06-20,F,T-shirt,1,285.45,Bank Transfer,NY,
ORD-00055,2025-01-20,F,Sofa,2,1172.32,Bank Transfer,NY,Mobile
ORD-00056,2025-04-27,M,T-shirt,6,2830.09,PayPal,,
ORD-00057,2025-02-05,M,T-shirt,6,2594,Apple Pay,TX,Mobile
ORD-00058,2025-03-01,M,Yoga Mat,6,8460.43,Apple Pay,,
ORD-00059,2025-06-26,F,,2,1805.85,Apple Pay,FL,In-Store
ORD-00060,2025-01-23,M,Headphones,10,3013.17,Bank Transfer,CA,Online
ORD-00061,2025-12-07,F,Handbag,7,,Apple Pay,IL,
ORD-00062,2025-12-08,M,Air Fryer,5,3852.71,Bank Transfer,TX,
ORD-00063,2025-08-04,M,Dumbbell,9,1875.47,Bank Transfer,NY,Online
ORD-00064,2025-06-05,F,Blender,9,11285.22,Apple Pay,NY,
ORD-00065,2025-08-27,F,Yoga Mat,10,,Bank Transfer,FL,Mobile
ORD-00066,2025-03-28,M,Jeans,8,9557.83,Credit Card,TX,
ORD-00067,2025-04-26,,Air Fryer,4,4062.95,,NY,
ORD-00068,2025-11-09,F,Laptop,4,5904.9,Credit Card,FL,Mobile
ORD-00069,2025-07-16,M,Yoga Mat,4,4332.61,Bank Transfer,FL,
ORD-00070,2025-02-24,M,Sneakers,1,1341.14,Bank Transfer,NY,Mobile
ORD-00071,2025-05-08,F,Jeans,8,754.59,Credit Card,FL,
ORD-00072,2025-11-01,F,T-shirt,9,13338.73,Apple Pay,FL,
