Order_ID,Order_Date,Category,Product,Quantity,Total_Sales_USD,Payment_Method,State
ORD-00001,2025-03-13,Electronics,Laptop,5.0,1912.2,Credit Card,IL
ORD-00002,2025-02-17,Electronics,Camera,7.0,469.27,PayPal,NY
ORD-00003,2025-12-26,Electronics,Camera,4.0,4318.84,Bank Transfer,NY
ORD-00004,2025-01-04,Sports,Yoga Mat,5.0,6089.79,PayPal,FL
ORD-00005,2025-06-22,Home,Desk,3.0,1015.99,Credit Card,CA
ORD-00006,2025-11-06,Sports,Treadmill,6.0,7645.75,Apple Pay,CA
ORD-00007,2025-07-13,Sports,Yoga Mat,2.0,2920.42,Credit Card,IL
ORD-00008,2025-12-27,Home,Microwave,6.0,5246.89,,CA
ORD-00009,2025-02-21,Fashion,Handbag,2.0,,Bank Transfer,TX
ORD-00010,2025-04-18,Sports,Dumbbell,3.0,1703.6,,
ORD-00011,2025-07-14,Fashion,,4.0,,Apple Pay,
ORD-00012,2025-01-17,Fashion,Handbag,1.0,,Apple Pay,FL
ORD-00013,2025-10-18,Home,Air Fryer,4.0,5485.77,Apple Pay,NY
ORD-00014,2025-03-13,Sports,Tent,,1851.6,PayPal,IL
ORD-00015,2025-07-24,Home,Microwave,7.0,9441.45,Apple Pay,NY
ORD-00016,2025-01-25,Fashion,Jeans,8.0,1236.37,Credit Card,NY
ORD-00017,2025-07-15,Fashion,T-shirt,10.0,1140.21,Bank Transfer,IL
ORD-00018,2025-02-28,Home,Microwave,1.0,1026.82,Apple Pay,TX
ORD-00019,2025-01-02,Electronics,Tablet,7.0,,,IL
ORD-00020,2025-06-02,Fashion,Jeans,,2616.73,PayPal,NY
ORD-00021,2025-09-29,Home,Sofa,9.0,12880.62,Credit Card,IL
ORD-00022,2025-07-05,Home,Blender,1.0,185.56,Apple Pay,NY
ORD-00023,2025-02-13,Electronics,Smartphone,10.0,14214.85,Bank Transfer,CA
ORD-00024,2025-03-26,Fashion,Sneakers,8.0,,Apple Pay,IL
ORD-00025,2025-12-20,Sports,Bike,9.0,10240.13,,TX
ORD-00026,2025-08-20,Sports,Dumbbell,8.0,10811.43,Credit Card,NY
ORD-00027,2025-10-11,Fashion,Jacket,6.0,306.78,PayPal,IL
