기간,차종별,휘발유,경유,LPG,전기,CNG,하이브리드,기타,수소
2015-01,승용차,1612549,592911,282534,822,1043,28185,670,0
2015-01,승합차,1425,104995,33803,10,8724,18,529,0
2015-01,화물차,1666,301212,41653,0,483,0,2554,0
2015-01,특수차,20,5730,85,0,3,0,64,0
2015-02,승용차,1611588,596805,281703,856,982,28603,661,0
2015-02,승합차,1417,104994,33386,10,8733,18,531,0
2015-02,화물차,1665,301406,41406,0,483,0,2554,0
2015-02,특수차,20,5813,84,0,3,0,65,0
2015-03,승용차,1609600,601247,280504,868,950,29150,653,0
2015-03,승합차,1412,104784,32788,10,8733,18,546,0
2015-03,화물차,1671,301251,41045,0,483,0,2618,0
2015-03,특수차,21,5887,82,0,3,0,67,0
2015-04,승용차,1608254,606482,279753,896,909,29187,641,0
2015-04,승합차,1400,104589,32279,10,8734,18,558,0
2015-04,화물차,1659,301287,40768,0,483,0,2847,0
2015-04,특수차,21,6028,81,0,3,0,70,0
2015-05,승용차,1606908,611473,279003,893,900,29869,627,0
2015-05,승합차,1388,104429,31809,10,8735,18,572,0
2015-05,화물차,1652,301587,40569,0,483,0,2886,0
2015-05,특수차,21,6065,80,0,3,0,72,0
2015-06,승용차,1604558,616707,277943,899,897,30392,606,0
2015-06,승합차,1372,104337,31248,10,8740,18,594,0
2015-06,화물차,1656,301846,40196,0,482,0,2813,0
2015-06,특수차,21,6117,81,0,3,0,71,0
2015-07,승용차,1603702,622765,276774,951,881,31033,587,0
2015-07,승합차,1354,104245,30696,10,8745,18,606,0
2015-07,화물차,1651,302487,39828,0,483,0,2850,0
2015-07,특수차,21,6121,91,0,3,0,77,0
2015-08,승용차,1601634,627210,275887,1000,872,31292,580,0
2015-08,승합차,1346,104006,30172,10,8750,18,616,0
2015-08,화물차,1655,302681,39539,0,482,0,2916,0
2015-08,특수차,21,6169,91,0,3,0,81,0
2015-09,승용차,1601503,633510,274945,1070,852,31745,573,0
2015-09,승합차,1331,103838,29696,10,8751,18,627,0
2015-09,화물차,1651,303820,39254,0,482,0,2995,0
2015-09,특수차,21,6327,90,0,3,0,79,0
2015-10,승용차,1600400,638568,274021,1110,829,32259,564,0
2015-10,승합차,1323,103544,29195,10,8751,18,629,0
2015-10,화물차,1648,304277,38918,0,482,0,3022,0
2015-10,특수차,21,6412,92,0,3,0,80,0
2015-11,승용차,1600565,645807,273182,1129,812,32941,559,0
2015-11,승합차,1309,103376,28727,10,8749,21,630,0
2015-11,화물차,1658,304595,38707,1,481,0,3027,0
2015-11,특수차,21,6488,92,0,3,0,78,0
2015-12,승용차,1599561,652373,271852,1139,780,33896,552,1
2015-12,승합차,1297,103043,28160,10,8737,31,649,0
2015-12,화물차,1649,304235,38351,2,472,0,3056,0
2015-12,특수차,21,6548,92,0,3,0,78,0
2016-01,승용차,1600703,658579,270934,1124,775,34644,545,2
2016-01,승합차,1289,103120,27709,10,8746,32,652,0
2016-01,화물차,1652,304305,38078,2,472,0,3076,0
2016-01,특수차,21,6606,92,0,3,0,76,0
2016-02,승용차,1599034,662139,269751,1151,772,35299,540,5
2016-02,승합차,1275,102843,27310,10,8748,32,655,0
2016-02,화물차,1644,304240,37826,2,471,0,3097,0
2016-02,특수차,21,6645,94,0,3,0,76,0
2016-03,승용차,1597306,667503,268671,1171,764,36036,534,5
2016-03,승합차,1261,102595,26864,10,8754,32,675,0
2016-03,화물차,1640,304168,37514,2,470,0,3149,0
2016-03,특수차,21,6731,92,0,3,0,79,0
2016-04,승용차,1596444,672021,267663,1154,761,37527,529,5
2016-04,승합차,1255,102383,26534,10,8751,33,679,0
2016-04,화물차,1640,304379,37177,2,470,0,3178,0
2016-04,특수차,21,6803,92,0,3,0,80,0
2016-05,승용차,1596189,676572,266919,1156,747,38570,523,12
2016-05,승합차,1239,102247,26109,10,8743,33,692,0
2016-05,화물차,1633,304309,36849,2,466,0,3193,0
2016-05,특수차,21,6857,92,0,3,0,77,0
2016-06,승용차,1597383,681466,266196,1165,719,39948,505,12
2016-06,승합차,1238,102044,25717,10,8737,37,708,0
2016-06,화물차,1643,304209,36543,2,464,0,3210,0
2016-06,특수차,21,6888,92,0,3,0,81,0
2016-07,승용차,1597493,683353,265263,1195,707,40447,494,12
2016-07,승합차,1225,101882,25348,10,8734,40,718,0
2016-07,화물차,1643,304282,36243,2,464,0,3267,0
2016-07,특수차,21,6906,91,0,3,0,85,0
2016-08,승용차,1596061,685311,263962,1210,702,41017,488,12
2016-08,승합차,1213,101446,24881,10,8726,46,723,0
2016-08,화물차,1645,303764,35936,2,464,0,3304,0
2016-08,특수차,21,6917,88,0,3,0,93,0
2016-09,승용차,1596599,688495,263175,1249,703,41829,483,12
2016-09,승합차,1217,101220,24520,10,8720,50,733,0
2016-09,화물차,1650,303338,35674,2,464,0,3330,0
2016-09,특수차,19,6951,88,0,3,0,93,0
2016-10,승용차,1596302,692624,262170,1288,699,42765,477,12
2016-10,승합차,1213,101050,24128,10,8720,50,745,0
2016-10,화물차,1647,302933,35452,2,463,0,3366,0
2016-10,특수차,19,6950,87,0,3,0,94,0
2016-11,승용차,1595809,695579,260668,1423,691,43676,472,12
2016-11,승합차,1210,100777,23686,10,8718,52,767,0
2016-11,화물차,1641,302934,35112,3,463,0,3374,0
2016-11,특수차,19,6962,88,0,3,0,96,0
2016-12,승용차,1593968,697496,259417,1484,678,44823,466,12
2016-12,승합차,1199,100355,23198,10,8712,52,783,0
2016-12,화물차,1633,302902,34766,4,461,0,3407,0
2016-12,특수차,19,6974,88,0,3,0,97,0
2017-01,승용차,1597542,701899,259331,1575,666,45766,463,12
2017-01,승합차,1201,100183,22837,10,8711,52,798,0
2017-01,화물차,1637,303592,34516,4,459,0,3418,0
2017-01,특수차,18,7024,86,0,3,0,100,0
2017-02,승용차,1597770,704704,258546,1635,663,46361,459,13
2017-02,승합차,1185,99948,22544,10,8710,52,809,0
2017-02,화물차,1643,303459,34296,4,458,0,3422,0
2017-02,특수차,17,7027,86,0,3,0,106,0
2017-03,승용차,1598200,706721,257532,1678,669,47318,456,13
2017-03,승합차,1177,99690,22207,10,8708,52,830,0
2017-03,화물차,1659,303498,34011,4,459,0,3451,0
2017-03,특수차,17,7051,86,0,3,0,113,0
2017-04,승용차,1599408,709298,256905,1697,666,48472,452,13
2017-04,승합차,1164,99387,21919,10,8705,52,843,0
2017-04,화물차,1664,303574,33769,7,459,0,3490,0
2017-04,특수차,17,7082,87,0,3,0,113,0
2017-05,승용차,1600101,712558,256343,1915,655,49641,444,13
2017-05,승합차,1157,99176,21596,10,8705,52,842,0
2017-05,화물차,1672,303649,33442,7,459,0,3543,0
2017-05,특수차,17,7151,86,0,3,0,120,0
2017-06,승용차,1601447,715204,255760,2309,643,51202,431,13
2017-06,승합차,1146,98875,21306,10,8706,52,864,0
2017-06,화물차,1682,303622,33173,8,458,0,3606,0
2017-06,특수차,18,7189,84,0,3,0,124,0
2017-07,승용차,1601980,718554,255080,2658,637,52682,425,13
2017-07,승합차,1135,98673,20937,10,8695,52,882,0
2017-07,화물차,1695,303636,32784,10,458,0,3685,0
2017-07,특수차,18,7209,84,0,3,0,125,0
2017-08,승용차,1601075,721424,254267,2873,629,53803,413,13
2017-08,승합차,1120,98442,20547,10,8693,52,907,0
2017-08,화물차,1697,303452,32479,11,456,0,3723,0
2017-08,특수차,18,7235,84,0,3,0,124,0
2017-09,승용차,1600949,724068,253506,3510,629,55157,404,13
2017-09,승합차,1114,98111,20206,10,8686,52,914,0
2017-09,화물차,1705,302858,32158,10,451,0,3774,0
2017-09,특수차,18,7247,84,0,3,0,127,0
2017-10,승용차,1600496,725101,252589,3880,622,56211,401,13
2017-10,승합차,1108,97790,20053,11,8657,52,931,0
2017-10,화물차,1718,302782,31911,17,449,0,3775,0
2017-10,특수차,18,7269,83,0,3,0,126,0
2017-11,승용차,1599843,726864,251694,4258,614,57791,398,13
2017-11,승합차,1097,97476,19841,2,8672,52,928,0
2017-11,화물차,1732,303030,31641,18,446,0,3777,0
2017-11,특수차,18,7294,83,1,3,0,127,0
2017-12,승용차,1597418,728314,250286,4775,617,59379,388,13
2017-12,승합차,1099,97003,19810,2,8664,52,934,0
2017-12,화물차,1735,302573,31366,19,447,0,3781,0
2017-12,특수차,18,7349,84,1,3,0,126,0
2018-01,승용차,1598270,730381,249212,4827,608,60683,384,13
