기간,자치구,합계,단독주택(소계),단독주택(일반),단독주택(다가구),단독주택(영업겸용),아파트,연립주택,다세대주택,비거주용 건물내 주택
2015년,종로구,"43,550","13,103","7,498","4,191","1,414","12,552","5,395","11,664",836
2015년,중구,"37,478","6,436","2,722","2,600","1,114","22,186","1,975","6,148",733
2015년,용산구,"70,723","15,503","5,691","8,038","1,774","35,343","4,029","15,206",642
2015년,성동구,"82,331","11,250","2,414","7,134","1,702","59,331","2,076","8,610","1,064"
2015년,광진구,"79,393","17,034",809,"13,455","2,770","29,880","4,434","26,561","1,484"
2015년,동대문구,"98,203","20,799","6,518","11,569","2,712","59,534","3,740","12,529","1,601"
2015년,중랑구,"99,265","21,155","2,548","15,634","2,973","50,078","4,943","21,543","1,546"
2015년,성북구,"128,046","27,180","12,933","11,311","2,936","69,725","6,518","23,097","1,526"
2015년,강북구,"91,806","19,393","5,998","11,048","2,347","32,651","4,854","33,820","1,088"
2015년,도봉구,"102,443","9,404","1,748","6,078","1,578","64,082","4,242","24,014",701
2015년,노원구,"186,626","8,143","3,226","3,824","1,093","160,725","3,536","13,471",751
2015년,은평구,"140,330","18,582","6,016","9,813","2,753","50,419","6,886","63,059","1,384"
2015년,서대문구,"92,885","15,568","4,066","9,824","1,678","45,340","5,762","25,250",965
2015년,마포구,"116,135","14,302","4,311","7,767","2,224","63,071","3,683","33,508","1,571"
2015년,양천구,"134,097","9,907","1,438","6,532","1,937","83,827","4,459","34,948",956
2015년,강서구,"179,045","11,671","1,504","7,998","2,169","107,304","5,306","53,569","1,195"
2015년,구로구,"118,047","12,469","1,992","8,840","1,637","74,594","7,362","22,783",839
2015년,금천구,"57,096","9,776",556,"8,167","1,053","27,342","3,937","15,549",492
2015년,영등포구,"96,195","17,306","3,134","11,842","2,330","65,088","1,562","11,112","1,127"
2015년,동작구,"109,362","17,113","3,984","11,175","1,954","56,969","5,475","28,726","1,079"
2015년,관악구,"121,277","23,159","4,849","15,642","2,668","53,262","6,489","36,436","1,931"
2015년,서초구,"125,403","6,773","1,090","4,609","1,074","90,084","5,722","21,474","1,350"
2015년,강남구,"176,654","7,437","1,060","5,010","1,367","133,127","6,106","28,122","1,862"
2015년,송파구,"187,030","10,231","1,346","6,959","1,926","111,685","5,040","58,287","1,787"
2015년,강동구,"119,824","11,345",712,"8,556","2,077","78,697","3,704","24,886","1,192"
2016년,종로구,"43,554","12,991","7,358","4,148","1,485","12,462","5,410","11,872",819
2016년,중구,"38,311","6,364","2,668","2,507","1,189","22,923","1,955","6,333",736
2016년,용산구,"70,868","15,302","5,550","7,840","1,912","35,310","3,974","15,653",629
2016년,성동구,"80,977","11,155","2,371","7,019","1,765","57,548","2,063","9,172","1,039"
2016년,광진구,"82,691","16,566",767,"12,832","2,967","30,401","4,293","30,003","1,428"
2016년,동대문구,"96,464","20,325","6,339","11,171","2,815","57,350","3,411","13,770","1,608"
2016년,중랑구,"102,387","20,430","2,373","14,943","3,114","50,343","4,850","25,272","1,492"
2016년,성북구,"128,502","25,928","12,131","10,855","2,942","69,981","6,376","24,748","1,469"
2016년,강북구,"93,623","18,870","5,735","10,722","2,413","32,652","4,915","36,136","1,050"
2016년,도봉구,"104,170","9,237","1,682","5,940","1,615","64,269","4,354","25,607",703
2016년,노원구,"189,013","7,990","3,174","3,666","1,150","162,895","3,541","13,887",700
2016년,은평구,"142,135","17,678","5,584","9,310","2,784","50,677","6,696","65,756","1,328"
2016년,서대문구,"92,788","14,981","3,863","9,327","1,791","44,866","5,727","26,294",920
2016년,마포구,"118,456","13,685","3,955","7,328","2,402","65,418","3,604","34,232","1,517"
2016년,양천구,"137,651","9,547","1,458","6,209","1,880","85,474","4,531","37,225",874
2016년,강서구,"184,422","11,310","1,459","7,614","2,237","109,403","5,218","57,345","1,146"
2016년,구로구,"120,431","12,311","1,958","8,669","1,684","75,180","7,471","24,639",830
2016년,금천구,"58,938","9,606",577,"7,924","1,105","27,470","3,949","17,412",501
2016년,영등포구,"97,089","16,998","3,111","11,502","2,385","65,390","1,500","12,112","1,089"
2016년,동작구,"111,438","16,283","3,783","10,546","1,954","58,232","5,368","30,489","1,066"
2016년,관악구,"123,911","22,636","4,702","15,113","2,821","54,551","6,479","38,369","1,876"
2016년,서초구,"129,491","6,696","1,075","4,460","1,161","92,424","5,686","23,389","1,296"
2016년,강남구,"176,135","7,470","1,029","4,924","1,517","130,924","6,186","29,789","1,766"
2016년,송파구,"191,349","9,875","1,266","6,557","2,052","113,627","4,909","61,297","1,641"
2016년,강동구,"116,063","11,035",712,"8,207","2,116","71,613","3,640","28,645","1,130"
2017년,종로구,"45,787","12,920","7,268","4,032","1,620","14,507","5,451","11,978",931
2017년,중구,"39,512","6,308","2,579","2,452","1,277","23,874","1,948","6,491",891
2017년,용산구,"71,356","14,993","5,465","7,693","1,835","35,648","3,985","15,988",742
2017년,성동구,"86,650","11,044","2,337","6,899","1,808","62,985","2,055","9,470","1,096"
2017년,광진구,"84,316","16,297",728,"12,585","2,984","30,301","4,249","31,970","1,499"
2017년,동대문구,"97,891","19,954","6,040","10,959","2,955","58,161","3,251","14,866","1,659"
2017년,중랑구,"103,740","19,669","2,130","14,355","3,184","51,031","4,578","26,949","1,513"
2017년,성북구,"130,766","25,457","11,662","10,682","3,113","71,571","6,321","25,902","1,515"
2017년,강북구,"94,526","18,369","5,416","10,463","2,490","33,458","4,882","36,743","1,074"
2017년,도봉구,"104,752","9,014","1,606","5,800","1,608","64,352","4,235","26,422",729
2017년,노원구,"187,025","7,081","2,429","3,491","1,161","161,701","3,508","14,025",710
2017년,은평구,"143,727","16,416","5,018","8,767","2,631","52,000","6,595","67,371","1,345"
2017년,서대문구,"94,398","13,939","3,375","8,822","1,742","47,445","5,630","26,418",966
2017년,마포구,"118,355","12,607","3,433","6,733","2,441","66,349","3,464","34,356","1,579"
2017년,양천구,"137,056","8,370",845,"5,712","1,813","85,758","4,265","37,784",879
2017년,강서구,"188,176","10,895","1,365","7,399","2,131","111,037","5,134","59,950","1,160"
2017년,구로구,"121,684","12,008","1,831","8,504","1,673","75,540","7,405","25,884",847
2017년,금천구,"62,314","9,410",561,"7,723","1,126","29,385","3,923","19,056",540
2017년,영등포구,"99,225","15,401","2,498","10,529","2,374","68,204","1,500","12,928","1,192"
2017년,동작구,"111,548","15,626","3,398","10,278","1,950","58,320","5,236","31,283","1,083"
2017년,관악구,"124,170","22,196","4,448","14,823","2,925","53,548","6,498","40,024","1,904"
2017년,서초구,"128,977","6,491","1,030","4,379","1,082","91,064","5,647","24,436","1,339"
2017년,강남구,"173,282","7,334","1,004","4,825","1,505","127,206","6,149","30,806","1,787"
2017년,송파구,"196,672","9,322","1,054","6,274","1,994","117,214","4,892","63,581","1,663"
2017년,강동구,"120,940","10,742",673,"7,929","2,140","75,263","3,551","30,251","1,133"
2018년,종로구,"45,729","12,699","7,071","3,994","1,634","14,530","5,428","12,140",932
2018년,중구,"40,177","6,209","2,513","2,425","1,271","24,417","1,944","6,719",888
2018년,용산구,"71,680","14,792","5,361","7,609","1,822","35,728","3,996","16,416",748
2018년,성동구,"87,830","10,944","2,281","6,851","1,812","63,976","2,032","9,785","1,093"
2018년,광진구,"85,638","16,002",678,"12,292","3,032","30,425","4,152","33,565","1,494"
2018년,동대문구,"100,802","19,484","5,735","10,796","2,953","60,386","3,181","16,093","1,658"
2018년,중랑구,"105,691","19,208","1,968","13,968","3,272","51,475","4,451","29,040","1,517"
2018년,성북구,"129,994","24,207","10,847","10,257","3,103","71,754","6,097","26,446","1,490"
2018년,강북구,"95,097","18,185","5,314","10,348","2,523","33,282","4,881","37,671","1,078"
2018년,도봉구,"105,526","8,903","1,533","5,737","1,633","64,580","4,176","27,138",729
2018년,노원구,"186,533","6,783","2,279","3,361","1,143","161,273","3,467","14,312",698
2018년,은평구,"144,611","16,000","4,846","8,546","2,608","52,607","6,297","68,390","1,317"
2018년,서대문구,"94,884","13,378","3,082","8,567","1,729","48,277","5,486","26,783",960
2018년,마포구,"118,619","12,225","3,205","6,598","2,422","66,582","3,227","35,003","1,582"
2018년,양천구,"137,850","7,990",699,"5,515","1,776","85,921","4,225","38,855",859
2018년,강서구,"190,525","10,697","1,326","7,247","2,124","111,811","4,966","61,900","1,151"
2018년,구로구,"124,569","11,827","1,743","8,396","1,688","77,194","7,392","27,310",846
2018년,금천구,"65,244","9,217",528,"7,546","1,143","30,918","3,872","20,696",541
2018년,영등포구,"99,971","14,644","2,310","9,941","2,393","68,984","1,486","13,674","1,183"
2018년,동작구,"112,032","14,889","2,972","9,908","2,009","59,188","5,152","31,713","1,090"
2018년,관악구,"125,148","21,584","4,153","14,419","3,012","53,915","6,442","41,274","1,933"
2018년,서초구,"132,040","6,395",984,"4,323","1,088","93,299","5,592","25,426","1,328"
2018년,강남구,"171,431","7,283",976,"4,823","1,484","124,418","6,121","31,817","1,792"
2018년,송파구,"199,739","8,441",494,"5,997","1,950","119,226","4,797","65,656","1,619"
2018년,강동구,"122,718","10,467",612,"7,692","2,163","75,473","3,512","32,149","1,117"
