자치구,동,세대,전체,남자,여자,한국인전체,한국인남자,한국인여자,외국인전체,외국인남자,외국인여자,세대당인구,65세이상
종로구,소계,"74,151","161,984","78,271","83,713","151,217","73,704","77,513","10,767","4,567","6,200",2.04,"28,073"
종로구,사직동,"4,668","9,841","4,469","5,372","9,553","4,309","5,244",288,160,128,2.05,"1,818"
종로구,삼청동,"1,375","2,993","1,435","1,558","2,749","1,320","1,429",244,115,129,2,679
종로구,부암동,"4,346","10,597","5,042","5,555","10,164","4,835","5,329",433,207,226,2.34,"1,799"
종로구,평창동,"7,504","18,768","8,807","9,961","18,609","8,733","9,876",159,74,85,2.48,"3,335"
종로구,무악동,"3,196","8,767","4,074","4,693","8,720","4,054","4,666",47,20,27,2.73,"1,438"
종로구,교남동,"4,593","10,750","5,001","5,749","10,603","4,930","5,673",147,71,76,2.31,"1,601"
종로구,가회동,"2,064","4,464","2,070","2,394","4,361","2,013","2,348",103,57,46,2.11,930
종로구,종로1.2.3.4가동,"5,200","8,539","4,964","3,575","7,230","4,331","2,899","1,309",633,676,1.39,"1,950"
종로구,종로5·6가동,"3,402","5,853","3,180","2,673","5,368","2,915","2,453",485,265,220,1.58,"1,138"
종로구,이화동,"4,437","8,460","3,879","4,581","7,828","3,683","4,145",632,196,436,1.76,"1,404"
종로구,창신1동,"2,949","6,046","3,240","2,806","5,188","2,797","2,391",858,443,415,1.76,"1,244"
종로구,창신2동,"4,146","9,776","4,980","4,796","8,503","4,362","4,141","1,273",618,655,2.05,"1,733"
종로구,창신3동,"2,891","7,230","3,558","3,672","7,057","3,468","3,589",173,90,83,2.44,"1,228"
종로구,숭인1동,"2,968","6,508","3,154","3,354","6,174","3,007","3,167",334,147,187,2.08,"1,182"
종로구,숭인2동,"5,796","9,965","5,027","4,938","9,508","4,862","4,646",457,165,292,1.64,"1,695"
종로구,청운효자동,"5,388","12,960","6,064","6,896","12,723","5,934","6,789",237,130,107,2.36,"2,237"
종로구,혜화동,"9,228","20,467","9,327","11,140","16,879","8,151","8,728","3,588","1,176","2,412",1.83,"2,662"
중구,소계,"63,045","136,469","66,769","69,700","126,175","61,839","64,336","10,294","4,930","5,364",2,"23,794"
중구,소공동,"1,124","3,057","1,539","1,518","2,117","1,020","1,097",940,519,421,1.88,298
중구,회현동,"3,118","5,812","3,134","2,678","5,217","2,807","2,410",595,327,268,1.67,"1,509"
중구,명동,"1,569","3,649","1,626","2,023","2,981","1,265","1,716",668,361,307,1.9,782
중구,필동,"2,295","4,904","2,425","2,479","3,942","2,028","1,914",962,397,565,1.72,838
중구,장충동,"2,715","5,573","2,749","2,824","4,685","2,376","2,309",888,373,515,1.73,823
중구,광희동,"2,990","6,427","3,368","3,059","4,931","2,604","2,327","1,496",764,732,1.65,"1,192"
중구,을지로동,"1,355","2,012","1,196",816,"1,820","1,099",721,192,97,95,1.34,500
중구,신당5동,"5,324","10,969","5,350","5,619","10,600","5,187","5,413",369,163,206,1.99,"1,742"
중구,황학동,"6,924","13,779","6,601","7,178","12,728","6,107","6,621","1,051",494,557,1.84,"1,961"
중구,중림동,"5,850","12,925","6,479","6,446","12,608","6,313","6,295",317,166,151,2.16,"2,056"
중구,신당동,"4,461","9,236","4,504","4,732","7,530","3,751","3,779","1,706",753,953,1.69,"1,393"
중구,다산동,"6,975","15,028","7,297","7,731","14,503","7,082","7,421",525,215,310,2.08,"2,618"
중구,약수동,"7,820","17,696","8,346","9,350","17,486","8,235","9,251",210,111,99,2.24,"3,667"
중구,청구동,"6,350","14,379","6,840","7,539","14,166","6,727","7,439",213,113,100,2.23,"2,614"
중구,동화동,"4,175","11,023","5,315","5,708","10,861","5,238","5,623",162,77,85,2.6,"1,801"
용산구,소계,"110,895","246,165","119,961","126,204","229,579","110,667","118,912","16,586","9,294","7,292",2.07,"39,439"
용산구,후암동,"8,561","18,377","8,970","9,407","17,820","8,675","9,145",557,295,262,2.08,"3,054"
용산구,용산2가동,"5,437","11,789","5,750","6,039","10,362","4,997","5,365","1,427",753,674,1.91,"2,097"
