year,f_male,f_female
1985,7,6
1986,7,5
1987,6,5
1988,5,5
1989,6,5
1990,5,4
1991,18,14
1992,19,16
1993,19,17
1994,21,19
1995,24,21
1996,27,25
1997,28,25
1998,27,24
1999,30,28
2000,32,30
2001,34,34
2002,36,37
2003,49,54
2004,54,61
2005,61,68
2006,83,92
2007,111,118
2008,123,132
2009,122,134
2010,125,137
2011,135,145
2012,118,129
2013,118,126
2014,129,137
2015,133,142
2016,131,143
2017,128,140
2018,137,147
2019,134,148
2020,115,128
2021,104,123
2022,106,134
2023,109,143
2024,115,151
