year_month,avg_temp,avg_max_temp,max_temp,avg_min_temp,min_temp,rain,humidity,wind
2000.01,-2,2,10,-6,-12,,,
2000.01,-2,2,10,-6,-12,,,
2000.02,-2,3,8,-6,-12,,,
2000.03,6,11,19,2,,,,
2000.04,12,17,,,2,,,
2000.05,18,23,31,13,8,,,
2000.06,24,29,34,,15,,,
2000.07,27,31,34,,20,,,
2000.08,26,30,35,23,19,,,
2000.09,21,25,31,17,12,,,
2000.1,15,19,27,11,4,,,
2000.11,7,11,20,3,-4,,,
2000.12,1,5,12,-3,-11,,,
2001.01,-4,-1,7,-8,-19,39,63,2
2001.02,0,4,12,-4,-10,46,61,2
2001.02,0,4,12,-4,-10,46,61,2
2001.03,5,10,21,1,-6,18,61,3
2001.04,14,19,28,9,2,12,59,3
2001.05,19,25,32,15,10,17,64,2
2001.06,23,27,33,19,16,157,71,2
2001.07,26,30,33,23,20,698,80,1
2001.08,27,31,35,23,19,252,77,1
2001.09,23,28,32,18,11,49,71,1
2001.1,17,21,25,12,9,68,66,1
2001.11,7,12,16,3,-3,13,65,2
2001.12,-1,3,11,-4,-9,16,64,2
2002.01,0,4,14,-3,-12,37,63,2
2002.02,3,7,13,-1,-5,2,55,2
2002.03,8,12,19,4,-3,32,55,2
2002.04,14,19,28,9,4,155,53,2
2002.04,14,19,28,9,4,155,53,2
2002.05,18,24,28,13,10,58,62,2
2002.06,22,27,32,18,15,61,62,2
2002.07,25,29,35,22,19,221,74,2
2002.08,24,28,32,21,18,688,79,2
2002.09,22,26,31,18,14,61,67,2
2002.1,13,18,25,9,0,45,60,2
2002.11,4,8,17,0,-5,13,55,2
2002.12,2,5,16,-2,-9,15,60,2
2003.01,-3,1,9,-6,-16,14,60,3
2003.02,3,7,12,-1,-8,40,62,2
2003.03,7,11,21,3,-5,27,58,2
2003.04,13,18,25,9,5,140,60,3
2003.05,20,25,30,14,9,106,57,2
2003.06,22,26,31,18,14,156,69,2
2003.07,24,28,31,21,18,470,75,2
2003.07,24,28,31,21,18,470,75,2
2003.08,24,28,32,21,17,684,77,1
2003.09,21,25,29,18,14,258,72,1
2003.1,14,19,26,10,3,42,61,2
2003.11,10,14,21,6,-3,69,66,2
2003.12,1,4,12,-3,-8,7,59,2
2004.01,-2,2,8,-5,-17,20,59,2
2004.02,2,7,19,-2,-8,55,56,3
2004.02,2,7,19,-2,-8,55,56,3
2004.03,6,11,19,2,-6,28,49,3
2004.04,13,18,27,9,3,74,51,3
2004.05,18,22,28,14,9,169,68,3
2004.06,23,28,33,19,15,138,64,2
2004.07,25,28,35,22,20,511,82,2
2004.08,26,30,36,23,19,193,70,2
2004.09,22,26,31,18,13,199,69,2
2004.1,15,21,26,10,5,7,54,2
2004.11,9,13,22,5,0,80,66,2
2004.12,2,6,16,-1,-8,27,56,2
2005.01,-3,2,7,-6,-11,5,52,2
2005.02,-2,2,11,-6,-13,17,49,3
2005.03,4,9,18,0,-7,13,54,3
2005.04,13,18,30,9,4,95,53,3
2005.05,18,23,30,13,6,86,55,2
2005.06,23,27,32,19,16,169,69,2
2005.07,25,29,34,23,18,269,76,2
2005.08,25,29,35,22,17,285,75,3
2005.09,22,26,31,19,14,313,71,2
2005.1,15,19,25,11,3,53,65,2
2005.11,9,13,22,5,-1,45,55,2
2005.12,-4,0,11,-7,-14,10,51,3
2006.01,0,3,9,-3,-10,34,57,2
2006.02,0,4,12,-4,-14,16,53,3
2006.03,5,10,17,1,-7,14,51,3
2006.04,12,16,22,8,3,52,55,3
2006.05,18,23,28,14,11,156,57,3
2006.06,22,26,32,18,14,169,68,2
2006.07,23,26,30,21,18,1014,82,2
2006.08,27,31,35,24,21,121,69,2
2006.09,21,26,30,17,11,11,58,2
2006.1,18,23,28,14,8,30,62,2
2006.11,8,12,20,5,-1,48,58,2
2006.12,1,5,13,-2,-12,17,59,2
2007.01,0,4,12,-3,-8,11,56,2
2007.02,4,9,15,0,-9,13,53,2
2007.03,6,10,16,2,-8,124,60,3
2007.04,11,16,23,8,2,41,53,3
2007.05,18,23,30,14,9,138,62,3
2007.06,23,28,33,19,14,55,61,2
2007.07,24,28,31,21,18,274,75,2
2007.08,27,30,33,24,20,238,75,3
2007.09,22,25,31,19,14,242,74,3
2007.1,15,20,26,11,3,40,63,2
2007.11,7,11,19,3,-6,26,55,2
2007.12,2,5,14,-1,-7,13,60,2
2008.01,-2,2,7,-5,-11,18,50,2
2008.02,-1,3,11,-5,-10,15,46,3
2008.03,7,12,20,4,-2,54,56,3
2008.04,14,20,28,9,4,39,50,3
2008.05,18,23,29,13,8,98,58,3
2008.06,22,26,30,18,14,165,65,3
2008.07,25,28,33,23,20,531,78,2
2008.08,25,30,35,22,16,251,69,3
2008.09,22,27,32,18,10,99,64,2
2008.1,16,21,28,12,6,42,62,2
2008.11,8,12,18,4,-7,20,58,2
2008.12,1,5,13,-3,-13,26,56,3
2009.01,-2,2,12,-6,-11,6,50,3
2009.02,3,7,16,-1,-9,37,57,3
2009.03,6,11,22,2,-3,64,52,3
2009.04,13,18,26,8,2,67,54,3
2009.05,19,24,31,15,10,109,59,3
2009.06,22,27,32,19,14,132,66,3
2009.07,24,28,32,21,19,659,76,2
2009.08,26,30,34,22,16,285,69,2
2009.09,22,26,30,18,14,65,64,2
2009.1,16,21,26,12,6,67,62,2
