사고발생여부,인구수,생활인구수_주중,생활인구수_주말,전통시장여부,지하철출입구개수,버스정류장개수,과속방지턱개수,교차로개수,횡단보도개수,주거,상업,녹지
1,2972.465549,569.5694236,586.4642514,0,0,0,0,0,0,0.999866006,0,0
1,1122.54047,307.268617,328.3965819,0,0,0,0,0,0,0.727125131,0,0
1,0,636.3686128,675.9183505,0,1,1,1,0,3,0.716927813,0.249502868,0.028290315
1,0,583.9861866,598.8630804,0,0,0,0,0,0,1.000034726,0,0
0,1973.416627,736.0537738,728.2402494,0,0,1,0,0,0,0.90233415,0,0
0,0,158.4411204,172.8380284,0,0,0,0,0,0,0.689166116,0,0.293444337
0,1050.522322,241.6650068,224.7981424,0,0,1,2,0,2,0.997954781,0,0
0,2670.423955,662.3951565,689.5437144,0,0,0,0,0,0,0.991175924,0,0
1,0,310.3796762,303.6029598,0,0,3,0,0,0,0.539081278,0,0.435841337
0,1998.324487,410.8476139,406.7472196,0,0,2,0,1,3,0.922525473,0.077479172,0
1,0,175.3391165,143.9836005,0,0,0,0,2,1,0.439402777,0,0
1,0,347.7234602,330.4520328,0,0,0,1,1,2,1.001957063,0,0
1,0,362.027324,371.7231098,0,0,0,0,1,1,0.907499603,0,0
1,1856.021778,453.0118828,454.716744,0,0,0,0,0,0,1.000000431,0,0
1,2065.682595,509.911309,525.5450452,0,0,0,1,0,0,0.876618834,0.122954995,0
1,0,199.7207051,197.707907,0,0,1,0,0,0,0.971596714,0,0.02612962
1,0,505.2551137,523.2146356,0,0,0,0,0,1,0.993589233,0,0
0,1751.782672,595.2120212,551.2433634,0,0,0,0,0,0,0.999955801,0,0
0,0,376.8038323,350.588736,0,0,0,0,0,0,0.835179944,0.165026396,0
1,1906.151082,357.7007528,269.9823208,0,0,0,0,0,0,1.000001662,0,0
1,2481.295522,702.4534473,687.9130919,0,0,0,0,0,1,0.999996136,0,0
0,841.122748,248.1760933,250.2375083,0,0,0,0,0,0,0.999892149,0,0
1,0,139.9174515,182.7710917,0,0,0,0,1,1,0.229815071,0.36071461,0.099090667
1,0,518.3551495,512.1233409,0,0,0,0,0,0,0.999968445,0,0
0,536.9095351,177.6034154,163.4935239,0,0,0,0,0,0,0.99964117,0,0
