Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,5510,5520,5380,5380,5078.558105,1116527
2016-01-05,5350,5450,5340,5430,5125.756836,1056372
2016-01-06,5430,5460,5280,5340,5040.799316,1682288
2016-01-07,5290,5420,5290,5310,5012.480957,1262776
2016-01-08,5250,5280,5150,5230,4936.962891,1462643
2016-01-11,5250,5540,5180,5460,5154.075684,2145573
2016-01-12,5470,5600,5320,5400,5097.437988,1826437
2016-01-13,5400,5460,5370,5420,5116.317383,827112
2016-01-14,5340,5420,5320,5390,5087.998535,847411
2016-01-15,5410,5440,5220,5280,4984.161621,1441100
2016-01-18,5190,5260,5090,5110,4823.686523,1928958
2016-01-19,5080,5130,5000,5070,4785.927734,1470319
2016-01-20,5060,5070,4805,4820,4549.935547,2314235
2016-01-21,4780,5120,4780,4960,4682.091309,2210451
2016-01-22,5040,5230,4995,5170,4880.324707,1821079
2016-01-25,5240,5260,5160,5240,4946.402344,791537
2016-01-26,5180,5330,5130,5260,4965.282227,908469
2016-01-27,5340,5380,5260,5330,5031.359863,1270382
2016-01-28,5320,5490,5270,5440,5135.196777,1123076
2016-01-29,5450,5500,5350,5440,5135.196777,1105841
2016-02-01,5490,5560,5410,5540,5229.59375,1036162
2016-02-02,5500,5600,5460,5570,5257.912598,1366562
2016-02-03,5520,5530,5310,5330,5031.359863,1243172
2016-02-04,5350,5640,5350,5630,5314.550781,1871986
2016-02-05,5620,5820,5540,5780,5456.146484,1788682
2016-02-11,5600,5660,5500,5560,5248.473145,1397578
2016-02-12,5520,5640,5380,5540,5229.59375,1675685
2016-02-15,5700,5940,5650,5910,5578.862305,2613994
2016-02-16,5950,5950,5760,5880,5550.543457,1689574
2016-02-17,5850,6010,5830,5910,5578.862305,1556490
2016-02-18,6000,6000,5900,5940,5607.181641,1291394
2016-02-19,5940,5990,5910,5940,5607.181641,1057560
2016-02-22,5910,5990,5870,5950,5616.621582,939054
2016-02-23,6000,6040,5940,5960,5626.060547,991240
2016-02-24,5940,6030,5930,6020,5682.699219,926418
2016-02-25,6060,6080,5830,5900,5569.422852,1302628
2016-02-26,5910,5990,5880,5940,5607.181641,740552
2016-02-29,5890,6020,5890,5960,5626.060547,1056206
2016-03-02,6020,6080,5850,5950,5616.621582,2630080
2016-03-03,5980,6100,5930,6070,5729.897949,1999445
2016-03-04,6070,6230,6040,6230,5880.932617,2022579
2016-03-07,6280,6350,6110,6190,5843.174316,2317971
2016-03-08,6250,6350,6190,6300,5947.010742,1756892
2016-03-09,6300,6340,6170,6310,5956.450195,1585651
2016-03-10,6320,6450,6280,6350,5994.209473,1723138
2016-03-11,6400,6450,6330,6410,6050.847656,1082175
2016-03-14,6470,6480,6360,6390,6031.967773,1095555
2016-03-15,6450,6460,6310,6410,6050.847656,1028930
2016-03-16,6540,6740,6480,6570,6201.882813,2699031
2016-03-17,6610,6760,6550,6670,6296.279297,1964250
2016-03-18,6690,6710,6550,6600,6230.202148,1408408
2016-03-21,6610,6660,6460,6650,6277.400391,1350973
2016-03-22,6660,6700,6550,6600,6230.202148,893681
2016-03-23,6580,6640,6520,6600,6230.202148,893736
2016-03-24,6560,6570,6400,6480,6116.925293,1421232
2016-03-25,6440,6540,6380,6490,6126.365234,1077386
2016-03-28,6490,6500,6390,6400,6041.407715,794535
2016-03-29,6370,6520,6370,6480,6116.925293,921580
2016-03-30,6500,6510,6420,6420,6060.287109,754114
2016-03-31,6470,6470,6280,6400,6041.407715,1309971
2016-04-01,6440,6440,6210,6230,5880.932617,1274071
2016-04-04,6230,6240,6150,6230,5880.932617,812908
2016-04-05,6210,6330,6160,6300,5947.010742,578776
2016-04-06,6280,6300,6210,6230,5880.932617,826530
2016-04-07,6210,6270,6120,6240,5890.372559,923303
2016-04-08,6210,6290,6150,6250,5899.8125,533111
2016-04-11,6260,6310,6170,6260,5909.251953,769534
2016-04-12,6300,6400,6240,6380,6022.528809,997622
2016-04-14,6390,6540,6390,6430,6069.727051,1225491
2016-04-15,6410,6500,6410,6440,6079.166504,719306
2016-04-18,6460,6490,6370,6420,6060.287109,761739
2016-04-19,6400,6500,6380,6470,6107.48584,763480
