연도,년월,기온,최고기온,극점최고기온,최저기온,극점최저기온,강수량,상대습도,풍속,최대풍속,최대순간풍속
2000,2000. 01,-2.1,1.7,9.9,-5.7,-12.1,42.8,64,2.6,7.6,12.3
2000,2000. 02,-1.7,2.6,7.5,-5.8,-11.6,2.1,56,2.7,10.6,19.1
2000,2000. 03,6.3,11.4,18.9,1.7,-4.8,3.1,55,3,12.2,19.9
2000,2000. 04,11.9,16.9,23.5,7.3,1.8,30.7,56,2.9,9.5,18.8
2000,2000. 05,17.5,22.7,30.5,12.9,7.9,75.2,66,2.3,8.3,13.6
2000,2000. 06,23.7,29.2,33.9,19.1,14.6,68.1,65,1.9,6.6,10.6
2000,2000. 07,26.8,31,34.2,23.1,19.9,114.7,73,2.1,9.5,15
2000,2000. 08,26.2,30,35.1,22.9,19,599.4,79,1.7,9.2,21.5
2000,2000. 09,20.7,24.8,31,17.1,11.9,178.5,71,1.7,12.5,22.4
2000,2000. 10,14.9,19.2,26.5,10.7,3.5,18.1,64,1.5,6.6,12.9
2000,2000. 11,7,11.1,20.3,2.7,-3.8,27.1,57,1.8,6.3,12.1
2000,2000. 12,0.9,4.9,11.9,-2.9,-11.4,27.0,58,2.2,8.1,13.8
2001,2001. 01,-4.2,-0.8,6.8,-7.8,-18.6,39.4,62.6,2.2,6.6,13.5
2001,2001. 02,-0.3,3.7,12.2,-3.7,-10.4,45.7,61,2.1,6.3,11.9
2001,2001. 03,5,9.6,21,0.9,-6.1,18.1,61.2,2.8,8.9,17.6
2001,2001. 04,13.6,19.2,28.2,8.7,2.1,12.3,59.3,2.5,8,15
2001,2001. 05,19.1,24.7,31.5,14.8,10.4,16.5,64.1,2.1,7.2,11.2
2001,2001. 06,22.5,27.1,32.7,19.2,15.6,157.4,71,1.6,5.9,9.2
2001,2001. 07,25.9,29.9,32.8,22.9,20.3,698.4,79.8,1.4,6,10.5
2001,2001. 08,26.5,30.8,35.3,22.8,19.4,252.0,77.4,1,4.6,7.3
2001,2001. 09,22.5,27.5,31.7,17.9,11,49.3,71,1.1,5.3,8.9
2001,2001. 10,16.5,21,25.3,12.4,8.8,68.2,66.2,1.3,5.7,10.6
2001,2001. 11,7,11.5,16,2.9,-3.1,13.0,64.6,1.7,6.2,11.4
2001,2001. 12,-0.6,3.4,10.9,-4,-8.8,15.7,63.8,2.1,7.6,14.3
2002,2002. 01,0.3,3.9,13.5,-2.9,-12,37.4,63,2.3,7.9,16.1
2002,2002. 02,2.9,7.1,12.6,-0.8,-5.1,2.4,55,2,7.4,12.8
